,company_name,location,layoff_date,employees_affected,Phone Number,Zip Code,Address,Contact Name,Layoff Type,Union Representation
1038,"Carbo Ceramics, Inc.",Wilkinson,03/15/2016,45,,31090,,,,
1039,Sears,Floyd,03/20/2016,45,,30165,,,,
1040,Technicolor Home Entertainment Services Southeast,Cobb,03/23/2016,63,,30144,,,,
1041,Kocher + Beck,Forsyth,03/25/2016,60,,30024,,,,
1042,Metropolitan Atlanta Rapid Transit Authority (MARTA),Fulton,03/25/2016,371,,30324,,,,
1043,"Americold Logistics, LLC.",Henry,04/15/2016,43,,30253,,,,
1044,"DB Schenker, Inc.",Richmond,04/23/2016,27,,30906,,,,
1045,Chartwells,Lowndes,04/29/2016,225,,31698,,,,
1046,Hancock Fabrics,Floyd,04/30/2016,12,,30165,,,,
1047,"Aramark Educational Services, LLC",Carroll,04/30/2016,234,,30118,,,,
1048,Maslow Media Group,Fulton,04/30/2016,1,,30339,,,,
1049,Georgia Department of Agriculture,Fulton,05/01/2016,52,,30334,,,,
1050,Concentrix Corporation,Gwinnett,05/07/2016,454,,30092,,,,
1051,"Bellsouth Telecommunications, LLC",Muscogee,05/17/2016,75,,31901,,,,
1052,American Hospice/Embracing Hospice,Fulton,05/20/2016,49,,30342,,,,
1053,Maplehurst Bakeries,Carroll,05/21/2016,140,,30117,,,,
1054,"Reliant Transportation, inc.",Chatham,05/27/2016,720,,31415,,,,
1055,Spartan Nash,Bulloch,05/28/2016,60,,30458,,,,
1056,W. S. Badcock Corporation Distribution Center,McDuffie,05/31/2016,48,,30824,,,,
1057,Butler (Formerly Evercare),Burke,05/31/2016,42,,30830,,,,
1058,Amrep/ZepInc,Cobb,06/01/2016,74,,30062,,,,
1059,"Caterpillar, Inc.",Stephens,06/01/2016,70,,30577,,,,
1060,North Georgia Medical Center,Gilmer,06/06/2016,38,,30540,,,,
1061,Sports Authority,Henry,06/10/2016,104,,30253,,,,
1062,Maplehurst Bakeries,Carroll,06/30/2016,0,,30117,,,,
1063,"Superior Manufacturing Group, Inc.",Gordon,06/30/2016,40,,30701,,,,
1064,Fibrant,Richmond,06/30/2016,285,,30901,,,,
1065,Resolute Forest Products,Richmond,07/05/2016,96,,30906,,,,
1066,WellStar,Cobb,07/09/2016,521,,30062,,,,
1067,TriEpiz Lab Group LLC,Fulton,07/28/2016,5,,73107,,,,
1068,Kmart,Floyd,07/31/2016,87,,30161,,,,
1069,"Augusta Service Company, Inc.",Richmond,07/31/2016,21,,30901,,,,
1070,"Benchmark Brands, Inc.",Fulton,08/11/2016,156,,30309,,,,
1071,Capital City Bank,Burke,08/19/2016,8,,30830,,,,
1072,Core Logic,Fulton,08/29/2016,36,,30328,,,,
1073,Ditech,Cobb,09/21/2016,80,,30144,,,,
1074,GENCO,Henry,09/22/2016,100,,30253,,,,
1075,Crawford and Company,Dekalb,09/30/2016,21,,30319,,,,
1076,Albany State Univeristy,Dougherty,09/30/2016,55,,31705,,,,
1077,EchoStar Technologies LLC.,Dekalb,10/01/2016,137,,30346,,,,
1078,Tyonek Services Group,Houston,10/07/2016,85,,31098,,,,
1079,Beaulieu America,Whitfield,10/23/2016,75,,30720,,,,
1080,Gossen,Bartow,10/24/2016,50,,30121,,,,
1081,Barrette Outdoor Living LLC.,Jackson,10/28/2016,73,,30567,,,,
1082,"Sam Dong Georgia, Inc.",Burke,10/28/2016,56,,30830,,,,
1083,KPS Global,Rockdale,10/31/2016,123,,30013,,,,
1084,"Talenti Gelato, LLC",Cobb,11/04/2016,234,,30062,,,,
1085,Holiday Inn Atlanta Perimeter,Dekalb,11/20/2016,43,,30341,,,,
1086,Shaw Plant M3,Ben Hill,11/21/2016,210,,31750,,,,
1087,Advantage Behavioral Health,Clarke,11/28/2016,16,,30601,,,,
1088,Hawker Beechcraft,Dekalb,11/30/2016,42,,30341,,,,
1089,Experience Works,Clayton,12/01/2016,7,,30297,,,,
1090,Coca-Cola European Partners,Cobb,12/15/2016,89,,30339,,,,
1091,Southeast Service Corporation,Barrow,12/16/2016,98,,30011,,,,
1092,The Boeing Company/Macon,Bibb,12/16/2016,39,,31216,,,,
1093,New Point Media Group,Gwinnett,12/16/2016,74,,30046,,,,
1094,Plastic Omnium,Gwinnett,12/19/2016,83,,30093,,,,
1095,Athena Healthcare,Fulton,12/30/2016,49,,30308,,,,
1096,"CDK Global, LLC",Richmond,12/31/2016,61,,30901,,,,
1097,Corizon Health,Fulton,12/31/2016,208,,30318,,,,
1098,Corizon Health,Gwinnett,12/31/2016,120,,30043,,,,
1099,Gold Creek Foods,Hall,01/02/2015,250,,30504,,,,
1100,Spears Mattress Company,Floyd,01/02/2015,80,,30161,,,,
1101,Lockheed Martin Corp Info System Global Solutions,Muscogee,01/14/2015,74,,31724,,,,
1102,Generation Mortgage Company,Fulton,01/15/2015,64,,30305,,,,
1103,"Johnson Controls, Inc.",Troup,01/16/2015,103,,31833,,,,
1104,General Electric Power and Water,Gwinnett,01/23/2015,250,,30096,,,,
1105,Quad Graphics,Dekalb,02/01/2015,110,,30340,,,,
1106,Remington Outdoor Company,Cobb,02/15/2015,34,,30144,,,,
1107,Litho-Krome,Muscogee,02/18/2015,46,,31820,,,,
1108,Imerys Oilfield Minerals,Schley,02/26/2015,63,,31711,,,,
1109,Sony,Fulton,02/27/2015,100,,30305,,,,
1110,Remington Outdoor Company,Gwinnett,02/28/2015,28,,30043,,,,
1111,Nordstrom,Gwinnett,02/28/2015,174,,30519,,,,
1112,Briggs and Stratton Co.,Henry,03/01/2015,447,,30253,,,,
1113,"Carbo Ceramics, Inc.",Wilkinson,03/05/2015,58,,31054,,,,
1114,"Infosys McCamish Systems, LLC.",Fulton,03/06/2015,61,,30339,,,,
1115,Trulite Glass Company,Douglas,03/08/2015,87,,30122,,,,
1116,Triton Digital,Cobb,03/11/2015,51,,30144,,,,
1117,L-3 Army Sustainment Division/RASM-E Program,Chatham,03/20/2015,82,,31409,,,,
1118,Sitel,Richmond,03/23/2015,677,,30906,,,,
1119,Insteel Wire Products,Carroll,03/30/2015,20,,30265,,,,
1120,Kmart Distribution Center/Forest Park,Clayton,03/31/2015,150,,30297,,,,
1121,Generation Mortgage Company,Fulton,03/31/2015,25,,30305,,,,
1122,Fresenius Medical Care,Bibb,04/03/2015,32,,31210,,,,
1123,JC Penny,Whitfield,04/04/2015,85,,30721,,,,
1124,Sears Holdings Corporation,Coweta,04/10/2015,164,,30265,,,,
1125,"Tyson Farms, Inc.",Terrell,04/10/2015,70,,99999,,,,
1126,Lockheed Martin Corporation Information Systems & Global Solutions,Muscogee,04/12/2015,68,,31724,,,,
1127,"Affinity Specialty Apparel, Inc.",Fulton,04/15/2015,76,,30336,,,,
1128,Smead Manufacturing Company,Henry,04/21/2015,150,,30248,,,,
1129,Kmart Distribution Center/Newnan,Coweta,04/30/2015,130,,30265,,,,
1130,Meda Pharmaceuticals,Cobb,04/30/2015,21,,30339,,,,
1131,GA Student Finance Commission,Dekalb,04/30/2015,25,,30084,,,,
1132,International Auto Processing,Glynn,04/30/2015,65,,31523,,,,
1133,AIG,Fulton,05/01/2015,365,,30022,,,,
1134,Moriah Services LLC.,Floyd,05/01/2015,33,,30165,,,,
1135,Emory Healthcare,Fayette,05/15/2015,57,,30215,,,,
1136,United Airlines,Clayton,05/17/2015,87,,30320,,,,
1137,"New Breed Leasing of New Jersey, Inc.",Fulton,05/26/2015,89,,30336,,,,
1138,"Tyson Farms, Inc.",Marion,05/29/2015,190,,31803,,,,
1139,The Intown Academy,Fulton,05/29/2015,60,,30308,,,,
1140,QSI Sanitation,Marion,05/29/2015,35,,31803,,,,
1141,DBHDD/Central State Hospital,Baldwin,05/31/2015,72,,31062,,,,
1142,Kongsberg Automotive,Emanuel,06/01/2015,180,,30401,,,,
1143,Staples,Cobb,06/05/2015,150,,30168,,,,
1144,Hancock-Able Services LLC,Fulton,06/05/2015,135,,30354,,,,
1145,CNH Industrial,Gordon,06/12/2015,94,,30701,,,,
1146,Kellogg Columbus Bakery,Muscogee,06/13/2015,271,,31903,,,,
1147,Community Action for Improvement,Troup,06/19/2015,200,,30241,,,,
1148,"Gill Industries, Inc.",Dade,06/29/2015,30,,30752,,,,
1149,Macon-Bibb EOC,Bibb,06/30/2015,150,,31201,,,,
1150,First Student,Chatham,06/30/2015,564,,31415,,,,
1151,Sodexo,Cobb,06/30/2015,167,,30144,,,,
1152,Hubbel Power Systems,Hall,07/24/2015,21,,30518,,,,
1153,Generation Mortgage Company,Fulton,07/31/2015,76,,30309,,,,
1154,Vectrus,Muscogee,08/09/2015,540,,31905,,,,
1155,ALOG Corporation,Muscogee,08/09/2015,159,,31905,,,,
1156,"Office Depot, Inc.",Cobb,08/14/2015,75,,30082,,,,
1157,CoStar Group,Gwinnett,08/18/2015,79,,30092,,,,
1158,DeKalb County Government,Dekalb,08/27/2015,88,,30030,,,,
1159,CNH Industrial,Gordon,08/28/2015,120,,30701,,,,
1160,Tatitlek Corporation,Gwinnett,08/31/2015,22,,30024,,,,
1161,Kaplan,Fulton,09/01/2015,77,,30022,,,,
1162,"DS Services of America, Inc.",Hall,09/05/2015,139,,30542,,,,
1163,"DSM Chemical North America, LLC",Richmond,09/14/2015,32,,30901,,,,
1164,Yanfeng Automotive Interiors,Troup,09/28/2015,39,,31833,,,,
1165,Silverleaf Resorts,Gwinnett,09/28/2015,186,,30519,,,,
1166,World Marketing Atlanta,Cobb,09/28/2015,105,,30082,,,,
1167,Delta Global Services,Clayton,10/01/2015,117,,30320,,,,
1168,Garda World,Cobb,10/03/2015,56,,30001,,,,
1169,"Shaw Industries Group, Inc.",Decatur,10/15/2015,267,,39817,,,,
1170,Hutcheson Medical Center,Catoosa,10/15/2015,169,,30742,,,,
1171,"Chubby's Chicken Fingers & More, LLC",Lowndes,10/25/2015,33,,31602,,,,
1172,DermaTran Health Solutions,Floyd,10/31/2015,12,,30165,,,,
1173,Colson Group,Coweta,11/01/2015,55,,30265,,,,
1174,GENCO,Jackson,11/05/2015,65,,30567,,,,
1175,Aramark,Fulton,11/15/2015,1078,,30315,,,,
1176,Triple Crown Services,Fulton,11/17/2015,240,,99999,,,,
1177,Kellogg Columbus Bakery,Muscogee,11/20/2015,99,,31903,,,,
1178,Navitor Southeast,Habersham,11/30/2015,71,,30510,,,,
1179,Huntsman Corps Pigments,Barrow,12/01/2015,9,,30120,,,,
1180,Quad/Graphics,Columbia,12/03/2015,225,,30809,,,,
1181,"Daiichi Sankyo, Inc.",Gwinnett,12/11/2015,20,,30097,,,,
1182,Saddle Creek Logistics Services,Douglas,12/12/2015,112,,30122,,,,
1183,Gulfstream,Chatham,12/15/2015,349,,31402,,,,
1184,Gannett Publishing Service,Fulton,12/27/2015,34,,30336,,,,
1185,Barclays Capital,Fulton,12/28/2015,11,,30326,,,,
1186,Sparton Corporation,Gwinnett,12/31/2015,82,,30043,,,,
1187,Esterline Technologies Company,Gwinnett,12/31/2015,65,,30097,,,,
1188,STS,Fulton,01/01/2014,328,,30328,,,,
1189,Electric Boat,Camden,01/03/2014,2,,31547,,,,
1190,PUR Foods,Barrow,01/14/2014,30,,30120,,,,
1191,YP,Fulton,01/15/2014,54,,30076,,,,
1192,Meggitt Inc.,Polk,01/17/2014,51,,30153,,,,
1193,Radisson Hotel (Frontera Hotel Group),Cobb,01/28/2014,25,,30067,,,,
1194,Hood Packing Corporation,Dekalb,01/31/2014,59,,30035,,,,
1195,SP Recycling Southeast,Clayton,02/01/2014,20,,30297,,,,
1196,Macy's,Fulton,02/01/2014,600,,30315,,,,
1197,Target,Clayton,02/04/2014,102,,30260,,,,
1198,CCA North Georgia Detention Center,Hall,02/07/2014,125,,30501,,,,
1199,Archiver's,Gwinnett,02/15/2014,15,,30519,,,,
1200,Archiver's,Cobb,02/15/2014,15,,30066,,,,
1201,ATOS,Bartow,02/28/2014,1,,30120,,,,
1202,"Sweet Breads, Natalie Janes, Sharkys",Habersham,03/07/2014,26,,30523,,,,
1203,"Source Medical Solutions, Inc.",Floyd,03/10/2014,58,,30162,,,,
1204,McKesson Medical Supply,Cobb,03/11/2014,13,,30168,,,,
1205,SierraPine Composite Solutions,Cook,03/13/2014,91,,31620,,,,
1206,Shenanegans Pub,Lumpkin,03/13/2014,30,,30533,,,,
1207,Avon,Gwinnett,03/31/2014,25,,30024,,,,
1208,"Consolidated Transport Systems, Inc.",Chatham,03/31/2014,44,,31408,,,,
1209,Wheeler County Hospital,Wheeler,04/01/2014,100,,30428,,,,
1210,World Airways,Fayette,04/04/2014,897,,30269,,,,
1211,BrandsMart USA,Cobb,04/20/2014,108,,30144,,,,
1212,Georgia-Pacific Corrugated LLC,Dekalb,04/22/2014,80,,30340,,,,
1213,Coldwater Creek,Gwinnett,04/23/2014,34,,99999,,,,
1214,Multi-Pack Solutions,Barrow,04/30/2014,48,,30680,,,,
1215,"Flight Health, Inc.",Fulton,05/02/2014,5,,30344,,,,
1216,Exelis,Muscogee,05/04/2014,550,,31905,,,,
1217,Riverside Manufacturing Company,Colquitt,05/05/2014,140,,31768,,,,
1218,"Avon Protection Systems, Inc",Gwinnett,05/05/2014,45,,30043,,,,
1219,Verizon Wireless,Fulton,05/08/2014,231,,30009,,,,
1220,Sodexo,Gwinnett,05/12/2014,118,,30043,,,,
1221,Office Depot,Gwinnett,05/23/2014,118,,30093,,,,
1222,RR Donnelley,Candler,05/27/2014,92,,30439,,,,
1223,UTI,Jackson,06/01/2014,9,,30517,,,,
1224,T&M Construction,Fulton,06/02/2014,1,,30364,,,,
1225,"NDC Systems, L.P.",Gwinnett,06/03/2014,105,,30024,,,,
1226,WIPRO,Fulton,06/04/2014,93,,30305,,,,
1227,CCP North America Inc.,Dekalb,06/09/2014,57,,30030,,,,
1228,General Dynamics SATCOM,Gwinnett,06/13/2014,40,,30096,,,,
1229,"Hanjin Shipping America, LLC",Fulton,06/30/2014,131,,30022,,,,
1230,UTC Building & Industrial Systems,Gwinnett,06/30/2014,73,,30096,,,,
1231,Reliable Health Care Mangement,Floyd,06/30/2014,5,,30161,,,,
1232,Timken,Cherokee,07/01/2014,39,,30107,,,,
1233,Sodexo,Fulton,07/08/2014,86,,30314,,,,
1234,New Continent Ventures,Fulton,07/11/2014,167,,30308,,,,
1235,Lockheed Martin Corp Information,Muscogee,07/14/2014,86,,31724,,,,
1236,FEI,Dekalb,07/14/2014,1,,30329,,,,
1237,NEXTITLE,Dekalb,07/14/2014,9,,30329,,,,
1238,"RCO Legal, P.S.",Dekalb,07/14/2014,133,,30329,,,,
1239,Realty in Motion,Dekalb,07/14/2014,13,,30329,,,,
1240,Kellogg,Muscogee,07/28/2014,325,,31724,,,,
1241,Sanmina Corporation,Fulton,07/31/2014,113,,30354,,,,
1242,InterFlex Group,Clayton,07/31/2014,65,,30349,,,,
1243,Hobart/ITW Food Equipment,Bryan,08/01/2014,42,,31324,,,,
1244,"Southwire Company, LLC",Carroll,08/05/2014,44,,30117,,,,
1245,"EveryWare Global, Inc.",Bryan,08/11/2014,62,,31308,,,,
1246,Acosta Sales and Marketing,Cobb,08/15/2014,50,,30067,,,,
1247,"Quality Finishings Of Georgia, LLC",Gordon,08/15/2014,39,,30701,,,,
1248,"Alorica, Inc",Cobb,08/19/2014,135,,30144,,,,
1249,Bags Inc.,Clayton,08/24/2014,145,,30320,,,,
1250,Fulton County Housing and Human Services,Fulton,08/29/2014,27,,30303,,,,
1251,"Boeing- Macon, Georgia",Bibb,08/30/2014,464,,31201,,,,
1252,Central State Hospital,Baldwin,08/31/2014,159,,31062,,,,
1253,United Arab Shipping Company,Chatham,09/01/2014,20,,31405,,,,
1254,Standard Register,Stephens,09/01/2014,18,,30577,,,,
1255,Dick's Sporting Goods,Macon,09/13/2014,23,,31206,,,,
1256,Anthem Education,Fulton,09/15/2014,47,,30324,,,,
1257,DeKalb County Government (Contract and Purchasing),Dekalb,09/24/2014,9,,30030,,,,
1258,"Tyson Foods, Inc.",Marion,09/25/2014,140,,31803,,,,
1259,Georgia Regents Medical Center,Richmond,09/26/2014,87,,30912,,,,
1260,Bently Dye Services,Gordon,09/26/2014,17,,30701,,,,
1261,Prentiss LLC,Fulton,09/26/2014,11,,30022,,,,
1262,BrandsMart U.S.A.,Gwinnett,09/27/2014,107,,30512,,,,
1263,Chemetron Fire Systems,Emanuel,09/30/2014,15,,30401,,,,
1264,"Cox Digital Exchange, LLC",Marion,09/30/2014,143,,30328,,,,
1265,Turner Broadcasting,Fulton,09/30/2014,764,,30303,,,,
1266,Emory -Adventist Hospital,Cobb,10/01/2014,517,,30880,,,,
1267,Cobb Medical Associates,Cobb,10/01/2014,64,,30080,,,,
1268,Greenwood@NutraSweet,Richmond,10/02/2014,68,,30903,,,,
1269,Wynn Buick GMC,Bartow,10/03/2014,36,,30120,,,,
1270,MetoKote Corporation,Peach,10/06/2014,30,,31030,,,,
1271,Navitor,Habersham,10/17/2014,60,,30510,,,,
1272,Walden Security,Cobb,10/23/2014,38,,30060,,,,
1273,Timken,Cherokee,10/24/2014,17,,30107,,,,
1274,Kmart,Houston,10/31/2014,77,,31093,,,,
1275,Bank of America,Fulton,11/18/2014,51,,30308,,,,
1276,Bilow,Elbert,11/19/2014,30,,30635,,,,
1277,ISTA North America,Fulton,11/21/2014,78,,30005,,,,
1278,The NutraSweet Company,Richmond,11/24/2014,134,,30903,,,,
1279,Springs Global,Bartow,11/28/2014,24,,30120,,,,
1280,Volvo Logistics Services Americas,Gwinnett,12/02/2014,26,,30096,,,,
1281,Swisher,Gwinnett,12/05/2014,56,,30043,,,,
1282,Cisco,Gwinnett,12/10/2014,210,,30044,,,,
1283,Encompass Group LLC,Floyd,12/19/2014,34,,30161,,,,
1284,Radius Global Solutions,Cherokee,12/31/2014,27,,30188,,,,
1285,Roadlink Workforce Solutions,Chatham,01/04/2013,42,,31407,,,,
1286,Bway Corporation,Dekalb,01/07/2013,65,,30058,,,,
1287,Lockheed Martin Corp,Cobb,01/09/2013,500,,30063,,,,
1288,"Pinnacle Airlines, Inc - Harstfield Jackson Airport",Fulton,01/10/2013,31,,30320,,,,
1289,Proctor And Gamble,Richmond,01/11/2013,130,,30906,,,,
1290,Continental Commercial Products,Jefferson,01/24/2013,121,,30833,,,,
1291,Conifer Health Solutions,Fulton,01/24/2013,87,,30009,,,,
1292,Goodwill,Gwinnett,01/28/2013,37,,30071,,,,
1293,Georgia State University,Fulton,02/05/2013,30,,30303,,,,
1294,Ryder,Fulton,02/12/2013,15,,30349,,,,
1295,National Beef,Colquitt,02/13/2013,280,,30298,,,,
1296,Avon,Gwinnett,02/14/2013,250,,30024,,,,
1297,Mercury Insurance Group,Fulton,02/21/2013,42,,30350,,,,
1298,The Atlanta Journal-constitution,Dekalb,02/21/2013,85,,30021,,,,
1299,Department Of Public Health,Fulton,02/25/2013,50,,30303,,,,
1300,Yp Southeast Advertising,Dekalb,02/28/2013,32,,30084,,,,
1301,Verizon,Fulton,03/01/2013,72,,30009,,,,
1302,Allstate Insurance Company,Fulton,03/01/2013,52,,30328,,,,
1303,Comcast,Richmond,03/04/2013,79,,30909,,,,
1304,"Pinnacle Airlines, Inc/atlanta Airport",Fulton,03/06/2013,391,,30320,,,,
1305,Unilever,Fulton,03/06/2013,125,,30310,,,,
1306,Clearwater Paper,Upson,03/08/2013,142,,30286,,,,
1307,The Atlanta Journal Constitution-cox Enterprises,Gwinnett,03/14/2013,105,,30096,,,,
1308,Belk #439,Gwinnett,03/14/2013,35,,30096,,,,
1309,"Dawn Food Products, Inc.",Douglas,03/18/2013,70,,30134,,,,
1310,Cenveo,Dekalb,03/21/2013,44,,30021,,,,
1311,Menlo,Gwinnett,03/21/2013,144,,30122,,,,
1312,Dyncorp International,Houston,03/25/2013,293,,31008,,,,
1313,Veolia Transportation,Chatham,04/05/2013,205,,32401,,,,
1314,Savannah Luggage,Emanuel,04/23/2013,133,,30401,,,,
1315,First Transit,Fulton,05/02/2013,37,,30306,,,,
1316,L3 Communications,Chatham,05/09/2013,41,,31409,,,,
1317,Atr Applied Theroplast Resources,Bartow,05/09/2013,91,,30120,,,,
1318,"Airtran Airways, Inc./hartsfield-jackson Alt Int'l Airport",Clayton,05/09/2013,316,,30320,,,,
1319,Interim Healthcare,Fulton,05/28/2013,39,,30328,,,,
1320,"Triumph Packaging Georgia, Llc",Upson,05/28/2013,58,,30286,,,,
1321,Propex,Berrien,06/14/2013,219,,31639,,,,
1322,G&K Services,Fulton,07/01/2013,37,,30336,,,,
1323,Crsytal Springs Print Works,Walker,07/19/2013,60,,30707,,,,
1324,Allens,Macon,07/29/2013,92,,31063,,,,
1325,Barnes & Noble,Fulton,07/31/2013,21,,30344,,,,
1326,"Mobility Transit Services, LLC",Richmond,07/31/2013,68,,30904,,,,
1327,Fulton County Government,Fulton,07/31/2013,60,,30303,,,,
1328,Belk,Gwinnett,08/01/2013,35,,30096,,,,
1329,National Envelope,Cobb,08/06/2013,177,,30082,,,,
1330,Sprint,Fulton,08/22/2013,48,,30339,,,,
1331,Bennett International Group,Washington,08/23/2013,40,,31089,,,,
1332,Tractor Supply Co.,Jackson,08/26/2013,96,,30517,,,,
1333,Outdoor Therapeutic Program (DBHDD),Meriwether,08/31/2013,43,,31811,,,,
1334,"NRG / GeOn Energy, Inc.",Fulton,09/03/2013,43,,30338,,,,
1335,Small Smiles Dental Center,Fulton,09/16/2013,21,,30331,,,,
1336,"Intuit, Inc.",Clarke,09/23/2013,4,,30601,,,,
1337,"Intuit, Inc.",Gwinnett,09/23/2013,9,,30092,,,,
1338,Bumpers Plus,Cobb,09/27/2013,14,,30060,,,,
1339,Jacobs Technology Inc,Dougherty,09/29/2013,80,,31701,,,,
1340,Wipro,Fulton,09/30/2013,163,,30305,,,,
1341,"Web Industries, Inc.",Gwinnett,09/30/2013,6,,30024,,,,
1342,"NCO Financial Systems, Inc.",Gwinnett,10/01/2013,94,,30071,,,,
1343,Ryder,Henry,10/07/2013,106,,30253,,,,
1344,William Carter Co.,Troup,10/11/2013,191,,30230,,,,
1345,"Irwin County Detention Center, LLC",Irwin,10/17/2013,179,,31774,,,,
1346,Rockwell Collins,Gwinnett,10/18/2013,51,,30096,,,,
1347,Piggly Wiggly,Spalding,10/21/2013,80,,30224,,,,
1348,"Allens, Inc.",Macon,10/28/2013,115,,31063,,,,
1349,Central State Hospital,Baldwin,10/31/2013,35,,31062,,,,
1350,Bank of America,Gwinnett,10/31/2013,113,,30519,,,,
1351,Bank of America,Fulton,10/31/2013,80,,30339,,,,
1352,William Carter Co.,Spalding,11/01/2013,9,,30224,,,,
1353,Donnelly Communications,Cobb,11/15/2013,30,,30062,,,,
1354,ITT Excelis,Muscogee,11/15/2013,0,,31905,,,,
1355,Emory Healthcare,Dekalb,11/15/2013,101,,30329,,,,
1356,PSS Dispensing,Hall,11/15/2013,25,,30501,,,,
1357,US Department of Defense,Chatham,11/15/2013,53,,31314,,,,
1358,World Airways,Fayette,11/23/2013,176,,30269,,,,
1359,JC's 5 Star Outlet,Clayton,11/30/2013,135,,30297,,,,
1360,State Road and Tollway Authority,Fulton,11/30/2013,50,,30334,,,,
1361,Litho-Krome,Muscogee,12/01/2013,27,,31820,,,,
1362,Schreiber Foods,Hall,12/04/2013,115,,30501,,,,
1363,Caterpillar,Spalding,12/05/2013,80,,30224,,,,
1364,Department of Physical Health,Dekalb,12/12/2013,75,,30319,,,,
1365,Allied Systems Holdings,Dekalb,12/15/2013,90,,30345,,,,
1366,Abacus Corporation,Gwinnett,12/23/2013,53,,30518,,,,
1367,Paulding RYDC,Paulding,12/31/2013,76,,30132,,,,
1368,Southwestern State Hospital,Thomas,12/31/2013,600,,31799,,,,
1369,Bloomingdale's,Dekalb,01/04/2012,141,,30346,,,,
1370,Ryder,Gwinnett,01/09/2012,34,,30043,,,,
1371,Nuconsteel Georgia Manufacturing,Paulding,01/09/2012,112,,30157,,,,
1372,The Atlanta Journal Constitution,Fayette,01/10/2012,70,,30215,,,,
1373,Actionmed Personnel (nexus),Gordon,01/24/2012,280,,30701,,,,
1374,Cox Communications,Dekalb,01/27/2012,133,,30319,,,,
1375,Seydel Wooley Co,Jackson,02/03/2012,6,,30567,,,,
1376,Concessions International/paschals,Fulton,02/06/2012,530,,30320,,,,
1377,The Atlanta Journal Constitution,Rockdale,02/09/2012,80,,30094,,,,
1378,Sears Holdings,Bibb,02/13/2012,13,,31206,,,,
1379,"Allens, Inc. #22",Macon,02/15/2012,84,,31063,,,,
1380,"Eagle Systems & Services, Inc.",Muscogee,02/16/2012,359,,31905,,,,
1381,Northrop Grumman,Richmond,02/17/2012,10,,30905,,,,
1382,Food Lion - Augusta 3 Locations,Richmond,02/24/2012,120,,30901,,,,
1383,Food Lion Savannah 4 Locations,Chatham,02/24/2012,160,,31405,,,,
1384,Medline Industries,Douglas,03/01/2012,40,,30122,,,,
1385,Seimens Healthcare,Fulton,03/01/2012,28,,30354,,,,
1386,Maximus,Fulton,03/01/2012,25,,30303,,,,
1387,Kmart,Clayton,03/01/2012,70,,30236,,,,
1388,Food Lion,Clayton,03/01/2012,35,,30238,,,,
1389,Csc Applied Technology,Fulton,03/01/2012,78,,30354,,,,
1390,"Cresent Hotels & Resorts, Llc",Fulton,03/02/2012,42,,30309,,,,
1391,The Atlanta Journal Constitution,Forsyth,03/08/2012,70,,30040,,,,
1392,Acuity Brands Lighting,Bleckley,03/14/2012,450,,31014,,,,
1393,Bank Of America,Fulton,03/16/2012,57,,30349,,,,
1394,Grainger,Fulton,03/16/2012,68,,30022,,,,
1395,Dal Global Services,Fulton,03/20/2012,170,,30354,,,,
1396,The Wendy's Company,Fulton,04/02/2012,195,,30338,,,,
1397,Best Buy,Fayette,04/16/2012,58,,30214,,,,
1398,The Atlanta Journal Constitution,Cobb,04/17/2012,150,,30144,,,,
1399,Haband (an Orchard Brands Company),Putnam,05/02/2012,89,,31204,,,,
1400,Waste Management,Fulton,05/04/2012,62,,30009,,,,
1401,"Asta, Inc",Burke,05/07/2012,0,,30830,,,,
1402,Eyewonder,Fulton,05/07/2012,17,,30303,,,,
1403,Hostess Brands,Fulton,05/07/2012,558,,30303,,,,
1404,The Atlanta Jounal Constitution,Cobb,05/08/2012,102,,30082,,,,
1405,Swift Spinning,Muscogee,05/21/2012,32,,31907,,,,
1406,Ferry Morse Seed Company,Bibb,05/22/2012,0,,31217,,,,
1407,Sodexo Inc,Chatham,05/31/2012,214,,31401,,,,
1408,Ccs Medical/ Mp Total Care Medical,Gwinnett,06/05/2012,104,,30043,,,,
1409,The Atlanta Journal-constitution,Fulton,06/12/2012,108,,30349,,,,
1410,South Fulton Medical Center,Fulton,06/27/2012,80,,30344,,,,
1411,Meda Pharmaceuticals,Cobb,07/02/2012,22,,30062,,,,
1412,General Dynamics Information Technology,Richmond,07/03/2012,70,,30905,,,,
1413,The Atlanta Journal-constitution/cox Enterprises,Fulton,07/10/2012,110,,30076,,,,
1414,Sony Dadc/distribution Center,Carroll,07/11/2012,127,,30117,,,,
1415,"Video Products Distributors, Inc.",Gwinnett,07/12/2012,93,,30024,,,,
1416,Carlisle Waterproofing,Elbert,07/19/2012,30,,30635,,,,
1417,Jackson National Life Insurance Company,Cobb,07/23/2012,112,,30067,,,,
1418,Cbe Group,Fulton,07/30/2012,67,,30339,,,,
1419,"The Atlanta Journal-consitution/cox Enterprises, Inc.",Douglas,08/02/2012,50,,30134,,,,
1420,Siemens Healthcare Diagnostics,Fulton,08/09/2012,113,,30354,,,,
1421,"G4s Government Solutions, Inc",Richmond,08/10/2012,31,,30905,,,,
1422,G4s Govt Solutions(ft Gillem),Clayton,08/10/2012,26,,30297,,,,
1423,One Care Company,Burke,08/22/2012,101,,30830,,,,
1424,"M-d Building Products, Inc",Hall,08/27/2012,0,,30504,,,,
