,company_name,location,notice_date,layoff_date,employees_affected
Unimin Corporation,Tunnel City,65,CL,Ind Sand Mining,3/24/2016
Unimin Corporation - Revision 1,Tunnel City,0,RN,Ind Sand Mining,7/7/2016
Rock-Walworth Comprehensive Family Services Inc.-Merrill Head Start,Janesville,10,WR,Child Day Care Services,3/24/2016
"Maslow Media Group, Inc.",Milwaukee,1,CL,Teleproduction & Postproduction Services,3/21/2016
"Five Star Quality Care, Inc.",Pewaukee,144,CL,Assisted Living Facilities for the Elderly,3/8/2016
"OEM Fabricators, Inc.",Baldwin,34,CL,Other Industrial Machinery Mfg,3/3/2016
W.D. Hoard & Sons Co.,Fort Atkinson,3,LS,Commercial Gravure Printing,3/31/2016
Mexican Accent LLC,New Berlin,155,CL,Other Snack Food Mfg,2/19/2016
"Publications International, Ltd.",Yorkville,50,CL,Book & Periodical Merch Whls,2/2/2016
Eaton Corporation,Watertown,91,AW,Relay & Ind Control Mfg,2/24/2016
Manitowoc Cranes,Port Washington,80,RN,Misc Fabricated Metal Product Mfg,2/22/2016
BuySeasons,New Berlin,128,CL,Other Cut and Sew Apparel Manufacturing,1/29/2016
JP Morgan Chase & Co,Milwaukee,135,WR,Commercial Banking,1/26/2016
Walmart #3030,Wauwatosa,78,CL,Supermarkets & Other Grocery Stores,1/19/2016
Walmart #3031,Menomonee Falls,76,CL,Supermarkets & Other Grocery Stores,1/19/2016
Walmart #3496,Milwaukee,272,CL,Supermarkets & Other Grocery Stores,1/19/2016
Walmart #5698,Waukesha,61,CL,Supermarkets & Other Grocery Stores,1/19/2016
Sealed Air Corporation,Mount Pleasant,45,CL,Ind Paper Merch Whls,1/15/2016
Sealed Air Corporation - Revision 1,Mount Pleasant,45,LS,Ind Paper Merch Whls,5/5/2016
Grainger - Imperial Supplies,Green Bay,50,WR,Hardware Merch Whls,1/11/2016
"Oscar Meyer Div, Kraft Heinz Food Company",Madison,141,CL,Meat Processed from Carcasses,1/6/2016
W.D. Hoard & Sons Co.,Fort Atkinson,3,LS,Commercial Gravure Printing,1/29/2016
"ConAgra Foods, Inc.",Ripon,285,LS,Cookie & Cracker Mfg,1/25/2016
Sealed Air Corporation,Sturtevant,29,LS,Ind Paper Merch Whls,1/15/2016
Semco Windows and Doors,Merrill,141,CL,Wood Window & Door Mfg.,20200102
OEMMCCO Inc.,Kenosha,49,CL,Machine Shops,20200110
Eastek Automated Circuit,Menomonee Falls,36,WR,Printed Circuit Assembly Mfg,20200128
Marquis Yachts,Pulaski,344,CL,Boat Bldg,20200130
FPM Heat Treating,Milwaukee,27,CL,Metal Heat Treating,20200130
US Bank,Milwaukee,62,WR,Commercial Banking,20200203
Compass Group,Neenah,30,CL,Janitorial Services,20200203
"IDEXX Distribution, Inc.",Marshfield,38,CL,Veterinary Services,20200214
"IDEXX Distribution, Inc.",Waukesha,13,CL,Veterinary Services,20200214
Riddell Sports Group Inc.,Sun Prairie,109,CL,Sporting Goods Stores,20200217
Bear Down Logistics Central,Sussex,95,CL,Local Messengers & Local Delivery,20200218
Black Horse Carriers Inc.,Pewaukee,68,CL,General Freight Trucking Long Distance TL,20200224
Cascio Music Co. Inc.,New Berlin,71,CL,Musical Instrument & Supplies Stores,20200224
Knueppel Healthcare Services Inc.,West Allis,44,CL,Food Health Supplement Stores,20200302
"Everbrite, LLC",Milwaukee,116,CL,Sign Mfg.,20200304
Hutchinson Technology Inc.,Eau Claire,112,WR,Computer Storage Device Mfg,20200318
Punch Bowl Social,Milwaukee,91,WR,Full-Service Restaurants,20200319
"Sub-Zero Group, Inc.",Fitchburg,1043,CL,Major Household Appliance Manufacturing,20200320
Tower Clock Eye Center,"Green Bay, Manitowoc, Oconto, Shawano",75,CL,Offices of Physicians exc Mental Health,20200320
Holiday Inn Convention Center Stevens Point,Stevens Point,143,WR,Hotels & Motels exc Casino Hotels,20200323
Visual Impressions Inc,Milwaukee,41,WR,Commercial Screen Printing,20200323
"Big Dot of Happiness, LLC",Menomonie,57,WR,Electronic Shipping and Mail Order Houses,20200323
Stroh Die Cast LLC,Mauston,71,CL,Nonferrous Mtl Die-Casting Foundries,20200323
Wisconsin Central School Bus,Milwaukee,90,WR,School & Employee Bus Trans,20200323
Wisconsin Central School Bus,New Richmond,48,WR,School & Employee Bus Trans,20200323
Clearwing Production Inc.,Milwaukee,25,WR,Independent Artists Writers & Performers,20200323
Hyatt Regency Milwaukee,Milwaukee,112,WR,Hotels & Motels exc Casino Hotels,20200323
Mickeys Linen and Towel Supply Inc,Milwaukee,48,WR,Linen Supply,20200323
Black Shoe Hospitality,Milwaukee,155,WR,Commercial Bakeries/Full Service Restaurants,20200323
Eddie Martini's Enterprises,Wauwatosa,30,WR,Full-Service Restaurants,20200323
Park Hotel Inc.,Madison,120,CL,Hotels & Motels exc Casino Hotels,20200323
HMS Host Corporation,Milwaukee,120,WR,Limited-service restaurants,20200324
Holiday Inn & Suites Wausau Rothschild,Rothschild,60,WR,Hotels & Motels exc Casino Hotels,20200324
The Edgewater Management Company,Madison,202,WR,Hotels & Motels exc Casino Hotels,20200325
Hospitality Democracy LLC,Milwaukee,234,CL,Full-Service Restaurants,20200325
Kettle Moraine YMCA,"West Bend, Port Washington",700,CL,Civic & Social Organizations,20200325
Take 5 Oil Change,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids",140,WR,Automotive Oil Change & Lubrication Shops,20200325
Schroeder Moving Systems,New Berlin,29,WR,Used Household & Office Goods Moving,20200326
MicroStar Quality Services,Green Bay,44,WR,All Other Consumer Goods Rental,20200326
Altitude Trampoline Park,Appleton,67,WR,All Other Amusement & Recreation Ind,20200326
Catering A Fresco,Madison,68,CL,Caterers,20200326
Tex Tubb's Taco Place,Madison,43,WR,Full-Service Restaurants,20200326
Johnny Delmonico's,Madison,34,CL,Full-Service Restaurants,20200326
Discovery Culinary Collaborative LLC,Madison,55,CL,Full-Service Restaurants,20200326
Avenue Club,Madison,49,WR,Full-Service Restaurants,20200326
Eldorado Grill,Madison,47,WR,Full-Service Restaurants,20200326
Luigi's Pizzeria,Madison,34,WR,Full-Service Restaurants,20200326
DLUX,Madison,49,WR,Full-Service Restaurants,20200326
Canteen,Madison,42,CL,Full-Service Restaurants,20200326
Bar Corallini,Madison,27,WR,Full-Service Restaurants,20200326
Monty's Blue Plate Diner,Madison,54,WR,Full-Service Restaurants,20200326
Market Street Diner,Sun Prairie,45,WR,Full-Service Restaurants,20200326
Craftsman Table and Tap,Middleton,49,CL,Full-Service Restaurants,20200326
Bassett Street Brunch Club,Madison,62,WR,Full-Service Restaurants,20200326
Great Lakes Services LLC,Madison,24,WR,Hotels & Motels exc Casino Hotels,20200327
Great Lakes Services LLC,Madison,69,WR,Hotels & Motels exc Casino Hotels,20200327
The Coopers Tavern,Madison,70,WR,Full-Service Restaurants,20200327
Hubbard Avenue Diner,Middleton,65,WR,Full-Service Restaurants,20200327
Cento Restaurant LLC,Madison,78,WR,Full-Service Restaurants,20200327
Everly and Miko Poke,Madison,68,WR,Full-Service Restaurants,20200327
Fresco Restaurant,Madison,43,WR,Full-Service Restaurants,20200327
Spectra Food Services and Hospitality,Green Bay,49,CL,Food Service Contractors,20200329
Paper Source,Brookfield,9,WR,Office Supplies & Stationery Stores,20200330
Paper Source,Glendale,9,WR,Office Supplies & Stationery Stores,20200330
Paper Source,Madison,13,WR,Office Supplies & Stationery Stores,20200330
Great Lakes Services,Baraboo,247,WR,Hotels & Motels exc Casino Hotels,20200330
"Schulte Hospitality Group, Inc.",Milwaukee,30,WR,Hotels & Motels exc Casino Hotels,20200330
Collegiate Hotel Group,Madison,63,WR,Hotels & Motels exc Casino Hotels,20200330
"Schwaab, Inc.",Brookfield,42,WR,Office Supplies (Exc Paper) Mfg,20200330
Rexnord Industries LLC,Grafton,140,WR,Conveyor & Conveying Equip Mfg,20200330
"Stateline Boys and Girls Clubs, Inc",Beloit,28,WR,Civic & Social Organizations,20200330
Reynolds Machine Company,New Berlin,36,WR,Motor Vehicle Power Train Components Mfg,20200330
Data Dimensions  ,Janesville,260,CL,Description Data Processing Hosting & Related Services,20200330
Stateline Family YMCA,Beloit,200,WR,Civic & Social Organizations,20200330
"SSA Group, LLC  ",Milwaukee,319,WR,Limited-service restaurants,20200330
Delavan Lake Resort,Delavan,11,CL,All Other Traveler Accommodation,20200330
Lake Lawn Resort,Delevan,305,CL,Hotels & Motels exc Casino Hotels,20200330
YMCA of the Northwoods,Rhinelander,109,CL,Civic & Social Organizations,20200331
Cinemark USA Inc.,Kenosha,51,CL,Motion Picture Theaters exc Drive Ins,20200331
California Pizza Kitchen,Glendale,36,CL,Full-service restaurants,20200331
FeraDyne Outdoors,Superior,226,CL,Sporting & Athletic Goods Mfg,20200331
Stevens Point YMCA,Stevens Point,324,CL,Civic & Social Organizations,20200331
AJLS Enterprises Inc.,Madison,56,WR,Ice Cream & Frozen Dessert Mfg,20200402
PlayMonster LLC,Beloit,31,WR,"Doll, Toy, & Game Mfg",20200402
Bartaco,Madison,67,CL,Full-service restaurants,20200402
"Chandler Exhibits, Inc.",Hudson,34,CL,Other Specialized Design Services,20200402
Bernick's,"Dresser, Superior",25,WR,Other Grocery Product Merch Whls,20200403
Caleres Inc,Port Washington,213,CL,Footwear Merch Whls,20200403
Caleres/Woodlore Manufacturing,Port Washington,28,CL,Misc Wood Product Mfg,20200403
Gray & Associates,New Berlin,28,WR,Offices of Lawyers,20200403
La Crosse Area Family YMCA  ,"La Crosse, Onalaska",562,WR,Civic & Social Organizations,20200403
eImprovement LLC,Pleasant Prairie,60,CL,Electronic Shopping and Mail-Order Houses,20200403
PC/Nametag Inc.,Verona,46,WR,Electronic Shopping and Mail-Order Houses,20200403
Spectra Food Services and Hospitality,Baraboo,172,CL,Food Service Contractors,20200406
Chapter 2 Inc.,Lake Mills,26,WR,Special Tool Die Jig & Fixture Mfg,20200406
"Van's Supply & Equipment, Inc.",Green Bay,37,WR,New Car Dealers,20200406
YMCA of Greater Waukesha County,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1100,CL,Civic & Social Organizations,20200406
YMCA of Dodge County,Beaver Dam,89,WR,Civic & Social Organizations,20200406
Uncle Julio's,Brookfield,93,CL,Full-service restaurants,20200406
Woodson YMCA,Wausau,300,CL,Fitness & Recreational Sports Centers,20200406
Geneva Lakes Family YMCA,Lake Geneva,117,WR,Civic & Social Organizations,20200406
"Hobby Lobby Stores, Inc.","Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",639,CL,Hobby Toy & Game Stores,20200406
Greater Green Bay YMCA,"Green Bay, Brussels, Suring",829,WR,Civic & Social Organizations,20200406
Manitowoc-Two Rivers YMCA,Manitowoc,219,CL,Civic & Social Organizations,20200407
Advanced Pain Management,Greenfield,50,WR,Offices of Physicians exc Mental Health,20200407
YMCA of the Chippewa Valley,"Chippewa Falls, Eau Claire, New Auburn",557,CL,Civic & Social Organizations,20200407
Pace Industries,Grafton,381,WR,Aluminum Die Casting Foundries,20200408
Abercrombie & Fitch,"Appleton, La Crosse, Wauwatosa",123,CL,Family Clothing Stores,20200408
Prospect International Airport Services Corp.,Milwaukee,48,WR,Other Airport Operations,20200408
American Greetings,Statewide,153,WR,All Other Support Services,20200408
Tetra PAK Processing Equipment Inc.,Windsor,39,CL,Food Product Machinery Mfg,20200409
Meetings and Incentives Worldwide Inc,Caledonia,15,WR,Convention & Trade Show Organizers,20200409
Server Products Inc,Richfield,53,WR,Other Com & Service Ind Machinery Mfg,20200409
Glacial Community YMCA,"Oconomowoc, Watertown",542,WR,Civic & Social Organizations,20200409
Patientpop,Menasha,1,WR,Marketing Consulting Services,20200410
"Hooters of America, LLC","Madison, Brookfield",61,WR,Full-service restaurants,20200410
Scholastic,Milwaukee,53,WR,Book & Periodical Merch Whls,20200413
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,WR,Other Elect Equip Repair,20200413
Nordstrom Inc.,"Madison, Wauwatosa",218,WR,Deparment Stores,20200414
YMCA of Northern Rock County,"Janesville, Milton",142,WR,Civic & Social Organizations,20200414
"Bars & Recreation, Inc.",Milwaukeee,38,WR,Drinking Places Alcoholic Beverages,20200414
LSC Communications,Baraboo,393,WR,Commercial Gravure Printing,20200415
Ashley Furniture Industries Inc.,Whitehall,70,WR,Upholstered Household Furn Mfg,20200416
Milwaukee Center for Independence,Milwaukee,128,WR,Other Individual & Family Services,20200417
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,WR,Shoe Stores,20200417
The Finish Line Macy's,Wauwatosa,3,WR,Shoe Stores,20200417
Baker Manufacturing Company LLC,Evansville,49,WR,Other Com & Service Ind Machinery Mfg,20200417
Goodwill,"Ashland, Superior",20,WR,Used Merchandise Stores,20200420
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,WR,Civic & Social Organizations,20200420
Emmi Roth,Seymour,32,WR,Cheese Mfg,20200421
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,WR,Consumer Lending,20200421
Hutchinson Technology Inc.,Eau Claire,110,WR,Computer Storage Device Mfg,20200421
Visionworks,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse",97,CL,Optical Goods Stores,20200422
Marquis Yachts,Pulaski,117,WR,Boat Bldg,20200423
Van Galder Bus / Coach USA,Janesville,258,WR,Interurban & Rural Bus Trans,20200423
Hi-Crush Services,Whitehall,35,WR,Ind Sand Mining,20200423
Hi-Crush Services,Taylor,32,WR,Ind Sand Mining,20200423
Bed Bath & Beyond Inc.,Brookfield,55,WR,All Other Home Furnishings Stores,20200424
Metals USA Carbon Flat Rolled Inc,Horicon,10,WR,Metal Merch Whls,20200427
Global Finishing Solutions,Osseo,94,WR,Sheet Metal Work Mfg,20200427
Smart Sand Inc.,Tomah,55,WR,Ind Sand Mining,20200428
The Hertz Corporation,Milwaukee,38,WR,Passenger Car Rental,20200428
Footlocker.com/Eastbay,Wausau,1,WR,Managing Offices,20200428
Foot Locker,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",261,WR,Shoe Stores,20200428
Eastbay Retail Store,Wausau,21,WR,Shoe Stores,20200428
Enterprise Holdings,"Waukesha, Oak Creek, Milwaukee",260,WR,Passenger Car Rental,20200429
Sheraton Milwaukee Brookfield Hotel,Brookfield,101,WR,Hotels & Motels exc Casino Hotels,20200430
Bluegreen Vacations,Wisconsin Dells,242,WR,Lessors of Residentials Bldgs,20200430
Covia Corp.,Tomah,32,WR,Ind Sand Mining,20200504
Holy Family College,Manitowoc,110,CL,Colleges & Universities,20200506
Badger Mining Corporation,Taylor,38,WR,Ind Sand Mining,20200514
Atrium Hospitality,Middleton,125,WR,Hotels & Motels exc Casino Hotels,20200518
Foremost Farms USA,Chilton,50,CL,Cheese Mfg,20200518
"Wigwam Mills, Inc.",Sheboygan,121,WR,Other Hosiery & Sock Mills,20200522
Documation LLC,Eau Claire,28,WR,Commercial Gravure Printing,20200526
BRP US,Sturtevant,387,WR,Other Engine Equip Mfg,20200527
Alkar-Rapid Pak Inc.,Lodi,25,WR,Food Product Machinery Mfg,20200528
Renaissance Manufacturing Group,Waukesha,120,CL,Iron Foundries,20200601
Union Cab of Madison Cooperative,Madison,126,WR,Taxi Service,20200601
Humane Manufacturing LLC,Baraboo,21,CL,Resilient Floor Covering Mfg.,20200601
PMI Entertainment Group Inc.,Green Bay,31,WR,Promoters With Facilities,20200604
Astec Industries Inc and Telsmith Inc,Mequon,135,CL,Construction Machinery Mfg,20200608
Verso Corporation,Wisconsin Rapids,902,CL,Paper exc Newsprint Mills,20200610
Nova Wildcat Shur-Line LLC,St. Francis,93,CL,Broom Brush & Mop Mfg,20200612
Derse Inc.,Milwaukee,87,WR,Sign Mfg.,20200612
Hyatt Corporation,Green Bay,42,WR,Hotels & Motels exc Casino Hotels,20200615
Catalytic Combustion,Bloomer,26,WR,Air Purification Equip Mfg,20200615
Novares Americas Engine Components Inc,Richland Center,74,CL,All Other Plastics Product Mfg.,20200617
American Phoenix,Eau Claire,46,WR,All Other Rubber Product Mfg,20200619
"Graceland Fruit Wisconsin, Inc.",Warrens,65,CL,Dried & Dehydrated Food Mfg,20200623
"Demco, Inc.","Madison, Deforest",38,WR,Office Supplies Merch Whls,20200625
Levy Premium Food Service at Fiserv Forum,Milwaukee,47,WR,Food Service Contractors,20200625
Levy Premium Food Service at Wisconsin Center District,Milwaukee,25,WR,Food Service Contractors,20200625
ALG Vacations,Milwaukee,149,WR,Tour Operators,20200625
Hilton Madison Monona Terrace,Madison,40,WR,Hotels & Motels exc Casino Hotels,20200625
Hilton Milwaukee City Center,Milwaukee,211,WR,Hotels & Motels exc Casino Hotels,20200625
The Pfister Hotel,Milwaukee,89,WR,Hotels & Motels exc Casino Hotels,20200625
Saint Kate - The Arts Hotel,Milwaukee,42,WR,Hotels & Motels exc Casino Hotels,20200625
SafeHouse Milwaukee,Milwaukee,1,WR,Hotels & Motels exc Casino Hotels,20200625
Wisconsin Hospitality Linen Service,Milwaukee,1,WR,Linen Supply,20200625
Marcus Hotels,Milwaukee,13,WR,Hotels & Motels exc Casino Hotels,20200625
Grand Geneva Resort & Spa,Lake Geneva,23,WR,Hotels & Motels exc Casino Hotels,20200626
Timber Ridge Lodge & Waterpark,Lake Geneva,5,WR,Hotels & Motels exc Casino Hotels,20200626
Briggs & Stratton,Wauwatosa,228,WR,Motor & Generator Mfg,20200626
Adecco USA Inc.,Wauwatosa,120,WR,Motor & Generator Mfg,20200629
GE Healthcare,Wauwatosa,123,WR,Medical Equip Merch Whls,20200630
Kimpton Journeyman Hotel,Milwaukee,97,WR,Hotels & Motels exc Casino Hotels,20200701
Hilton Garden Inn - Milwaukee Airport,Milwaukee,48,WR,Hotels & Motels exc Casino Hotels,20200702
Home2 Suites,Milwaukee,16,WR,Hotels & Motels exc Casino Hotels,20200702
SpringHill Suites,Madison,37,WR,Hotels & Motels exc Casino Hotels,20200702
Hampton Inn and Suites,Madison,45,WR,Hotels & Motels exc Casino Hotels,20200702
SpringHill Suites Milwaukee,Milwaukee,20,WR,Hotels & Motels exc Casino Hotels,20200702
Westin Milwaukee,Milwaukee,78,WR,Hotels & Motels exc Casino Hotels,20200702
Marriott Milwaukee Downtown,Milwaukee,56,WR,Hotels & Motels exc Casino Hotels,20200702
Delaware North Companies Inc.,"Milwaukee, Green Bay",1303,WR,Full-service restaurants,20200703
Rev Group Inc,"Brookfield, Milwaukee",43,WR,Managing Offices,20200709
Cintas Corporation,Menomonee Falls,92,CL,Ind Launderers,20200713
The Madison Consourse Hotel,Madison,114,WR,Hotels & Motels exc Casino Hotels,20200716
Forest County Potawatomi Community,"Milwaukee, Wabeno, Crandon",1835,WR,Tribal Gov,20200717
United Alloy Inc,Janesville,108,WR,Metal Tank Heavy Gauge Mfg,20200720
North Central Staffing,Middleton,71,WR,Hotels & Motels exc Casino Hotels,20200723
North Central Staffing,Madison,75,WR,Hotels & Motels exc Casino Hotels,20200723
North Shore Healthcare,Shawano,44,CL,Nursing Care Facilities (Skilled Nursing),20200727
Air Wisconsin Airlines,"Milwaukee, Appleton",361,WR,Scheduled Passenger Air Trans,20200729
Helgesen,Hartford,102,WR,Misc Fabricated Metal Product Mfg,20200803
Northern Engraving Corporation,Holmen,61,WR,All Other Plastics Product Mfg.,20200804
"Stellar Mold & Tool, Inc.",Galesville,22,CL,Ind Mold Mfg,20200805
Wacker Neuson,Menomonee Falls,186,WR,Construction Machinery Mfg,20200807
Courier Distribution Systems,Sussex,98,WR,Couriers & Express Delivery Services,20200811
Phillips Medisize,Eau Claire,98,CL,Surgical & Medical Instrument Mfg,20200812
Aramark at the Fluno Center,Madison,60,WR,Food Service Contractors,20200817
Pereles Brothers Inc.,Milwaukee,49,CL,All Other Plastics Product Mfg.,20200818
Sentry Services,Stevens Point,112,CL,Direct Property & Casualty Insurers,20200819
APL Logistics Warehouse Management Services,Pleasant Prairie,86,CL,General Warehouse & Storage,20200827
"Avis Budget Car Rental, LLC","La Crosse, Milwaukee",10,WR,Passenger Car Rental,20200828
Fresh Thyme,Menomonee Falls,56,CL,Supermarkets & Other Grocery Stores,20200831
Hyatt Place Madison,Madison,26,WR,Hotels & Motels exc Casino Hotels,20200901
"Frank Productions, LLC.",Madison,39,WR,Promoters With Facilities,20200916
Sodexo,Milwaukee,73,WR,Food Service Contractors,20200917
P.F. Chang's China Bistro,Wauwatosa,75,WR,Full-service restaurants,20200917
P.F. Chang's China Bistro,Appleton,75,WR,Full-service restaurants,20200917
"Bartolotta Restaurant Group, LLC",Milwaukee,268,WR,Full-service restaurants,20200921
"Mondi Akrosil, LLC",Pleasant Prairie,92,CL,Paper Bag & Coated & Treated Paper,20200925
Advanced Pain Management LLC,"Appleton, Greenfield, Kenosha, Madison, Milwaukee, Mount Pleasant, Prairie du Sac, Sheboygan, West Bend",238,"CL, AW, LS",Offices of Physicians exc Mental Health,20200925
IHG Management (Maryland) LLC,Wauwatosa,31,WR,Hotels & Motels exc Casino Hotels,20201006
W.M. Sprinkman,Waukesha,30,CL,Metal Tank Heavy Gauge Mfg,20201007
Progressive Parking Solutions,Milwaukee,62,CL,Parking Lots & Garages,20201020
Progressive Parking Solutions,Kenosha,2,CL,Parking Lots & Garages,20201020
Progressive Parking Solutions,Grafton,3,CL,Parking Lots & Garages,20201020
"Calibre, Inc.","Grafton, Saukville",204,CL,Metal Coating & Nonprecious Engraving,20201028
"Eau Claire Anesthesiologists, Ltd.",Eau Claire,54,CL,Office of Physicians exc Mental Health,20201029
"Maple Leaf Cheesemakers, Inc.",Monroe,31,CL,Cheese Mfg,20201029
School Sisters of Notre Dame,Elm Grove,66,CL,Elementary & Secondary Schools,20201030
Turnkey Processing Solutions/WP Operations LLC,Hixton,44,CL,Construction Sand & Gravel Mining,20201030
Cardinal Logistics Management Corporation,Wisconsin Rapids,33,CL,General Freight Trucking Long Distance,20201103
Mayo Clinic,La Crosse,5,WR,,20201106
"Dairyland Buses, Inc. and Lakeside Buses, Inc.",Milwaukee,189,CL,School & Employee Bus Trans,20201111
Fleet Farm,Appleton,42,CL,All Other General Merchandise Stores,20201113
Sodexo at Martin University,Fond du Lac,24,WR,Food Service Contractors,20201116
Valley Popcorn Co,Neenah,18,WR,Confectionery Merch Whl,20201117
Southwest Airlines,Milwaukee,18,WR,Scheduled Passenger Air Trans,20201118
"Tex Mess, LLC, dba Eldorado Grill",Madison,20,WR,Full service restaurants,20201119
EFS,Kenosha,10,CL,General Freight Trucking Long Distance,20201208
Plymouth Tube Co USA,East Troy,11,WR,Iron Steel Pipe & Tube from Purchased Steel,20201228
Courtyard Management Corporation,Brookfield,29,CL,Hotels & Motels exc Casino Hotels,20201229
"Stresau Laboratory, Inc",Spooner,70,CL,Ammunition exc Small Arms Mfg,20210113
The Master Lock Company,Milwaukee,61,WR,Hardware Mfg,20210120
Durham School Services,Milwaukee,23,CL,School & Employee Bus Trans,20210121
Ryder Integrated Logistics,Milwaukee,80,WR,Packing & Crating,20210121
"Conagra Brands, Inc.",Milwaukee,190,CL,Other Grocery Product Merch Whls,20210125
Air Wisconsin Airlines,Milwaukee,140,WR,Other Support Activities for Air Trans,20210128
Stock and Field,Portage,39,CL,Department Stores,20210129
Wisconsin Physicians Services Insurance Corporation,"Rothschild, Monona",128,WR,Direct Health & Medical Insurance Carriers,20210226
Neillsville Care and Rehab,Neillsville,40,CL,Nursing Care Facilities (Skilled Nursing),20210316
Wisconsin Central School Bus,New Richmond,48,CL,School & Employee Bus Trans,20210318
Dairyland Power Cooperative,Genoa,63,CL,Fossil Fuel Elect Power Generation,20210325
"Foot Locker Corporate Services, Inc.",Milwaukee,22,WR,Family Clothing Stores,20210331
Deluxe Corporation,Wausau,43,CL,Printing & Writing Paper Merch Whls,20210401
"Cargill Cocoa and Chocolate, Inc.",Milwaukee,80,WR,Chocolate & Confectionery Mfg from Cacao Bean,20210406
"Nestle USA, Inc.",Burlington,34,WR,Confectionery Merch Whls,20210512
Durr Universal,Muscoda,87,WR,Misc General Purpose Machinery Mfg,20210519
"Calibre, Inc.","Grafton, Saukville",204,CL,Metal Coating & Nonprecious Engraving,20210601
Hufcor Inc.,Janesville,166,WR,Showcases Partitions Shelving & Lockers,20210602
Clearwater Paper,Neenah,285,CL,Paper exc Newsprint Mills,20210602
Malteurop North America Inc.,Milwaukee,28,WR,Malt Mfg,20210615
"Create-Ability, Inc.",Madison,61,CL,Residential Intellectual and Developmental Disability Facilities,20210629
"Neenah, Inc.",Appleton,94,CL,Paper exc Newsprint Mills,20210716
"Tyson Foods, operating as LD Foods/Keystone Foods",Jefferson,62,CL,Seafood Product Preparation & Packaging,20210811
Eaton Corporation,Watertown,56,CL,Relay & Ind Control Mfg,20210909
"The Vollrath Company, LLC",Menomonee Falls,51,CL,Food Product Machinery Mfg,20210928
"Guardian Fabrication, LLC",Sun Prairie,82,CL,Glass Product Mfg Made of Purchased Glass,20210930
Valero Services Inc.,Johnson Creek,61,WR,Ethyl Alcohol Mfg,20211004
TMD Wisconsin LLC,Beloit,27,WR,Motor Vehicle Seating & Interior Trim Mfg,20211122
First Transit,Racine,81,CL,Bus & Other Motor Vehicle Transit Systems,20211129
Waupaca Elevator Co Inc,Appleton ,60,WR,Private Households,20211230
"Briggs & Stratton, LLC","Richfield, Wauwatosa",56,"CL, WR",Other Engine Equip Mfg,20220128
DHL Supply Chain,Chippewa Falls,72,CL,General Freight Trucking Long Distance TL,20220128
"Moran Foods, LLC dba Save A Lot",Edgerton,30,CL,General Line Grocery Merchant (except Convenience) Stores,20220131
"American Girl Brands, LLC.",Middleton,98,CL,"Hobby, Toy, and Game Retailers",20220210
Kenosha Estates Nursing and Rehab,Kenosha,65,CL,Nursing Care Facilities (Skilled Nursing),20220217
Pehler and Sons Inc.,Arcadia,78,CL,Other Specialized Trucking Local,20220225
The J.M. Smucker Company,Ripon,93,CL,Perishable Prepared Food Mfg,20220308
Gannett,Milwaukee,181,CL,Newspaper Publishers,20220315
"Georgia Pacific Consumer Operations, LLC",Green Bay,186,CL,Managing Offices,20220317
Collins Aerospace,New Berlin,90,CL,Other Aircraft Parts and Auxiliary Equipment Manufacturing,20220325
"BCS Automotive Interface Solutions U.S., LLC",Galesville,57,CL,Other Motor Vehicle Parts Mfg,20220428
Wiseway Transportation,Hudson,127,CL,Freight Trans Arrangement,20220509
"NDSM De Pere, LLC",De Pere,135,WR,Automatic Environmental Control Manufacturing,20220510
Algoma Medical Center,Algoma,54,CL,Nursing Care Facilities (Skilled Nursing),20220517
Aacer Acquisitions,Peshtigo,126,CL,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",20220526
Aramark at School District of Beloit,Beloit,63,CL,Industrial Launderer,20220531
