,company_name,location,notice_date,layoff_date,employees_affected,Notice ID
292,"Prestige Maintenance USA, LP","Anderson, Blount, Davidson, Hamblen, Hamilton, Knox, Madison, Maury, Putnam, Rutherford, Sumner, Washington, Williamson, Wilson",2020/4/2,"March 19, 2020",52.0,#202000057
293,Hampton Inn West Knoxville Cedar Bluff,Knox,2020/4/2,"March 20-24, 2020",15.0,#202000056
294,Personal Auto Locator Service LLC,Knox,2020/4/1,"March 24, 2020",5.0,#202000055
295,Hampton Inn & Suites Knoxville-Papermill Drive,Knox,2020/4/2,"March 22, 2020",20.0,#202000054
296,ABC Technologies dba Salga Plastics,Sumner,2020/4/1,"March 20, 2020",207.0,#202000053
297,ABC Technologies,Sumner,2020/4/1,"March 20, 2020",680.0,#202000052
298,"Town & Country Grocers of Fredericktown, MO, Inc",Gibson and Lauderdale,2020/3/31,"May 12, 2020",64.0,#202000051
299,Takahata Precision TN Inc.,Scott,2020/3/31,"March 25, 2020",222.0,#202000050
300,Memphis Redbirds,Shelby,2020/3/31,"March 27, 2020",18.0,#202000049
301,Chartwell Hospitality,"Davidson, Sevier, and Williamson",2020/3/31,"March 19, 2020",830.0,#202000048
302,Aspen Tennessee LLC dba Hotel Preston,Davidson,2020/3/30,"March 30, 2020",76.0,#202000047
303,Volunteer Express Inc.,Davidson,2020/3/31,"May 23, 2020",81.0,#202000046
304,JGA Inc. dba Top Hog BBQ,Sumner,2020/3/30,"March 21, 2020",15.0,#202000045
305,Q2 Management,Hamilton,2020/3/30,"March 25, 2020",53.0,#202000044
306,Kirchhoff Automotive,Coffee,2020/3/27,"March 30, 2020",300.0,#202000042
307,Patlan LLC dba Sportsclips,Sumner,2020/3/27,"March 21, 2020",37.0,#202000041
308,Driven Brands dba Take 5 Oil Change,Davidson and Shelby,2020/3/27,"March 20, 2020",11.0,#202000040
309,Martin Electric,Sumner,2020/3/27,"March 25, 2020",11.0,#202000039
310,RLCL Acquisition LLC dba Gray Line of TN,Davidson,2020/3/27,"March 23, 2020",198.0,#202000038
311,Hilton Garden Inn Nashville Downtown,Davidson,2020/3/27,"March 25, 2020",66.0,#202000037
312,Hampton Inn & Suites Downtown Knoxville,Knox,2020/3/27,"March 20, 2020",15.0,#202000036
313,Off Square Interiors dba Norman Furniture,Lincoln,2020/3/26,"March 23, 2020",6.0,#202000035
314,CDJR of Knoxville dba Secret City Chrysler,Knox,2020/3/26,"March 24, 2020",32.0,#202000034
315,Corky's Ribs & BBQ,Shelby,2020/3/25,"March 20, 2020",61.0,#20200033
316,Higginbotham Family Dental,Shelby,2020/3/25,"March 24, 2020",17.0,#202000032
317,Summit Management Corp,Shelby,2020/3/25,"March 23, 2020",70.0,#202000031
318,Old Town Trolley Tours,Davidson,2020/3/25,"March 23, 2020",75.0,#202000030
319,OSF International dba The Old Spaghetti Factory,Davidson,2020/3/24,"March 24, 2020",57.0,#202000029
320,Holiday Inn Downtown Knoxville,Knox,2020/3/24,"March 23, 2020",88.0,#202000028
321,Round Two Inc.,Sumner,2020/3/24,"March 21, 2020",14.0,#202000027
322,Tennessee Aquarium,Hamilton,2020/3/24,"March 27, 2020",112.0,#202000026
323,Vision Hospitality Group,Hamilton,2020/3/23,"March 20, 2020",756.0,#202000025
324,Platinum Companies,Davidson,2020/3/23,"March 23, 2020",123.0,#202000024
325,Nationwide Studios Inc.,Sumner,2020/3/19,"March 16, 2020",56.0,#202000023
326,CE Rental Inc. dba Liberty Party Rental,Davidson,2020/3/19,"March 17, 2020",29.0,#202000022
327,Aramark Uniform Services,Davidson,2020/3/17,"March 13, 2020",93.0,#202000021
328,McKesson Pharmaceutical Solutions and Services,Shelby,2020/3/12,"March 4, 2020 - June 4, 2020",79.0,#202000020
329,Shutterfly Inc.,Hamilton,2020/3/10,"June 1, 2020",3.0,#202000019
330,Propak Logistics Inc.,Knox,2020/3/10,"April 30, 2020",52.0,#202000018
331,Chic-Fil-A Store #00850,Anderson,2020/3/6,"May 2, 2020",102.0,#202000017
332,Brock Services LLC,Sullivan,2020/2/25,"March 15, 2020",824.0,#202000016
333,Logistics Insight Corp,Rutherford,2020/2/24,"Apri 1, 2020",96.0,#202000015
334,Brookdale Senior Living Inc.,Williamson,2020/2/21,"April 6, 2020",58.0,#202000014
335,PharMEDium Healthcare Corporation,Shelby,2020/2/19,"April 20, 2020",167.0,#202000013
336,Reliance Worldwide Corporation,Rutherford,2020/2/18,"Beginning April 14 and ending June 30, 2020",71.0,#202000012
337,TruCore Behavioral Health,Davidson,2020/2/12,"Beginning February 16 and ending February 29, 2020",98.0,#202000011
338,TruCore Behavorial Health,Jefferson,2020/2/11,"February 16, 2020",69.0,#20200010
339,"Delta Airline Global Service, LLC",Shelby,2020/2/10,"March 7, 2020",70.0,#202000009
340,IQor Global Services LLC,Shelby,2020/2/12,"April 6, 2020",131.0,#202000008
341,"Huddle House, Inc/Perkins LLC",Shelby,2020/2/3,"March 31, 2020",7.0,#202000007
342,"Huddle House, Inc/Perkins LLC",Shelby,2020/1/23,"March 1, 2020",2.0,#2020000006
343,Goodman Manufacturing,Lincoln,2020/1/9,"March 8, 2020",11.0,#202000005
344,"IAC Dayton, LLC",Rhea,2020/1/8,"February 28, 2020",93.0,#202000004
345,Gaylord Opryland Resort and Convention Center,Davidson,2020/1/8,"March 6, 2020",61.0,#202000003
346,Macy's,Davidson,2020/1/8,"Beginning March 17 and ending March 30, 2020",117.0,#202000002
347,Aramark,Shelby,2020/1/7,Beginning in February 2020,126.0,#202000001
348,.,Lincoln,2019/12/27,"February 28, 2020",51.0,#201900065
349,Dexter Hospitality,Shelby,2019/12/17,"December 13, 2019",64.0,#201900064
350,IAC Dayton,Rhea,2019/12/11,"February 5, 2020",44.0,#201900063
351,Goodman Manufacturing Company L.P.,Lincoln,2019/11/27,"January 31, 2020",45.0,#201900062
352,Flex,Shelby,2019/11/14,beginning February 2020,280.0,#201900061
353,"Mitsubishi Electric Power Products, Inc.",Shelby,2019/11/12,"January 3, 2020 through January 31, 2020",160.0,#201900060
354,Leidos,Shelby,2019/11/1,"December 31, 2019",107.0,#201900059
355,Goodman Manufacturing Company L.P.,Lincoln,2019/11/1,"December 31, 2019",2.0,#201900058
356,City Gear,Shelby,2019/10/24,"February 2, 2020",51.0,#201900057
357,Huddle House Inc.,Shelby,2019/10/23,"December 31, 2019",24.0,#201900056
358,Goodman Manufacturing Company L.P.,Lincoln,2019/10/21,"December 20, 2019",55.0,#201900055
359,TRIGO,Hamilton,2019/10/18,"December 19, 2019",109.0,#201900048
360,Lifetouch National School Studios Inc.,Hamilton,2019/10/10,"December 13, 2019 and continue until February 28, 2020",152.0,#201900047
361,.,Shelby,2019/10/8,"December 1, 2019 until December 31, 2019",18.0,#201900046
362,Regal Beloit America Inc.,Unicoi,2019/10/7,"Will begin on November 30, 2019 and will continue to December 31, 2020",125.0,#201900045
363,Bayou Steel Group,Roane,2019/9/30,"Will begin on October 7, 2019 and will continue to November 30, 2019",72.0,#201900044
364,Goodman Manufacturing Company L.P.,Lincoln,2019/9/27,"November 27, 2019",529.0,#201900043
365,Omega Apparel,DeKalb,2019/9/13,"Initial layoff September 4, 2019 with additional layoffs planned September 13 and September 20",126.0,#201900041
366,Fred's Inc.,Shelby,2019/9/13,"November 9 through November 23, 2019",90.0,#201900042
367,"Edlemann USA, Inc",Giles,2019/9/10,"November 9, 2019",48.0,#201900040
368,Mid-Cumberland Community Action Agency,"Cannon, Cheatham, Robertson, Rutherford, Sumner, Trousdale, Williamson, Wilson",2019/9/4,"September 30, 2019 for 4 employees and October 31, 2019 for 174 employees",178.0,#201900039
369,"United Structures of America, Inc.",Sumner,2019/8/22,Late September 2019,45.0,#201900038
370,Terminix International Company Limited Partnership,Shelby,2019/8/1,"October 1, 2019",99.0,#201900037
371,"TestAmerica Laboratories, Inc. D/B/A Eurofins TestAmerica",Davidson,2019/7/31,"September 30, 2019",55.0,#201900036
372,Goodman Manufacturing Company L.P.,Lincoln,2019/7/30,"September 27, 2019",703.0,#201900035
373,"TI Group Automotive Systems, L.L.C.",Greene,2019/7/25,"September 20, 2019 and continuing through December 2019",67.0,#201900034
374,.,Davidson,2019/7/19,"September 13, 2019",60.0,#201900033
375,Goodman Manufacturing Company L.P.,Lincoln,2019/7/1,"August 30, 2019",6.0,#201900032
376,"Dr. Steven Woods, Chiropractor",Hamilton,2019/6/25,"June 27, 2019",2.0,#201900031
377,"Fred's, Inc.",Shelby,2019/6/14,"August 9, 2019",155.0,#201900030
378,"Alo Tennessee, Inc.",Washington,2019/6/5,"August 30, 2019 through December 31, 2019",100.0,#201900029
379,Goodman Manufacturing Company L.P.,Lincoln,2019/6/5,"August 2, 2019",9.0,#201900028
380,"XPO Logistics Supply Chain, Inc.",Shelby,2019/5/21,"July 15, 2019",881.0,#20190027
381,Resources for Human Development,Shelby,2019/5/8,"July 8, 2019",80.0,#20190026
382,Falcon Transport Co.,Rutherford,2019/4/29,"April 27, 2019",70.0,#20190025
383,Jubilee Catholic Schools,Shelby,2019/4/24,"June 30, 2019",243.0,#20190024
384,"Aramark Educational Services, LLC - University of Memphis",Shelby,2019/4/24,"April 22, 2019, May 4, 2019, and August 7, 2019",238.0,#20190023
385,"Aramark Educational Services, LLC",Shelby,2019/4/17,"May 11, 2019 and May 31, 2019",122.0,#20190022
386,"Hobbs Bonded Fibers NA, LLC",Gibson,2019/4/16,"May 31, 2019",66.0,#20190021
387,"Durham School Services, L.P.",Hamilton,2019/4/8,"June 30, 2019",314.0,#20190020
388,WestRock D/B/A Kimball Manufacturing,Marion,2019/3/29,"May 27, 2019",61.0,#20190019
389,Walmart Store #5468,Hamblen,2019/3/26,"May 24, 2019",77.0,#20190018
390,Lifetouch National School Studios Inc.,Hamilton,2019/3/25,"May 24, 2019 and June 28, 2019",41.0,#20190017
391,Conduit Global,Shelby,2019/3/4,"April 30, 2019",112.0,#20190015
392,Walmart Store #4167,Knox,2019/3/4,"May 10, 2019",161.0,#20190014
393,CVS Health Corporation,Davidson,2019/3/4,"May 3, 2019 through May 17, 2019",250.0,#20190016
394,The Harris Soup Company,Davidson,2019/2/27,"April 25, 2019",135.0,#20190013
395,Jellico Community Hospital,Campbell,2019/2/21,"February 28, 2019",147.0,#20190012
396,"XPO Logistics Supply Chain, Inc.,",Shelby,2019/2/15,"April 15, 2019",446.0,#20190011
397,"Porcelain Industries, Inc.,",Dickson,2019/2/12,"April 30, 2019",92.0,#20190010
398,"Averitt Express, Inc.",Rutherford,2019/2/7,"April 8, 2019 to October 4, 2019",98.0,#20190009
399,Cumberland River Hospital,Clay,2019/1/25,"March 31, 2019",146.0,#20190008
400,GC Services Limited Partnership,Knox,2019/1/23,"March 22, 2019 & April 5, 2019",89.0,#20190007
401,"Renwood Acquisitions, LLC dba Heckethorn Manufacturing",Dyer,2019/1/22,"March 25, 2019",152.0,#20190006
402,PharMEDium Healthcare Corporation,Shelby,2019/1/14,"March 12, 2019",440.0,#20190005
403,"Gannett Satellite Information Network, LLC,",Davidson,2019/1/11,"March 3, 2019, March 11, 2019, and May 3, 2019",61.0,#20190004
404,"Sears, Roebuck and Co. Store",Davidson,2019/1/4,"March 24, 2019",41.0,#20190003
405,Kmart Corporation,Sevier,2019/1/4,"March 24, 2019",46.0,#20190002
406,Kmart Corporation,Sullivan,2019/1/4,"March 24, 2019",42.0,#20190001
407,Sanofi US,Hamilton,2018/12/19,"June 28, 2019",180.0,#20180038
408,Nestle Waters,Macon,2018/12/10,"February 2, 2019",43.0,#20180037
409,Target Corporation,Shelby,2018/11/5,"February 2, 2019",173.0,#20180035
410,",",Davidson and Rutherford,2018/11/1,"October 31, 2018",46.0,#20180034
411,"Commercial Warehouse & Cartage, Inc.,",Robertson,2018/10/30,"December 29, 2018",128.0,#20180033
412,Goodman Manufacturing Company L.P.,Lincoln,2018/10/19,"December 21, 2018",81.0,#20180032
413,GSK Consumer Health - Global manufacturing & Supply,Shelby,2018/10/11,"December 10, 2018",99.0,#20180031
414,Youth Villages,Perry,2018/9/28,"November 25, 2018",87.0,#20180030
415,LGSTX Distribution Services,Shelby,2018/9/14,"September 30, 2018",177.0,#20180029
416,Fred's Inc.,Shelby,2018/9/7,"October 28, 2018",80.0,#20180028
417,Kayser-Roth Corporation,Rhea,2018/9/5,"November 5, 2018",85.0,#20180027
418,Caterpillar Inc.,Dyer,2018/8/7,"October 1, 2018",85.0,#20180026
419,"Cantech Industries, Inc.",Washington,2018/7/12,"September 10, 2018",68.0,#2018025
420,The Fresh Market,Sumner,2018/7/12,"August 3, 2018",61.0,#2018024
421,Jackson National Life Insurance,Williamson,2018/6/21,"June 15, 2018, July 6, 2018, August 3, 2018",64.0,#2018023
422,Xanitos Inc.,Hamilton,2018/6/15,"August 18, 2018",156.0,#2018022
423,Adient US LLC,Giles,2018/6/11,"July 31, 2018",54.0,#20180021
424,Incipio Group,Rutherford,2018/6/4,"July 31, 2018",48.0,#20180020
425,"LM Farms, LLC dba Garden Alive! Farms",DeKalb,2018/6/1,"August 3, 2018",300.0,#20180019
426,"DAL Global Services, LLC",Davidson,2018/5/23,"August 22, 2018",123.0,#20180018
427,Verizon Wireless,Williamson,2018/5/16,"June 29, 2018",265.0,#201817
428,First Tennessee Bank,Greene,2018/5/1,"June 30, 2018",58.0,#20180016
429,TEC Industrial,Sullivan,2018/5/1,"July 16, 2018",238.0,#20180015
430,"East Tennessee Brain and Spine Center, P.C.",Washington,2018/5/1,"June 30, 2018",61.0,#20180014
431,"TI Group Automotive Systems, LLC",Greene,2018/4/ 27,"June 29, 2018",40.0,#20180013
432,Goodrich Corporation d/b/a UTC Aerospace Systems,Coffee,2018/4/20,"June 29, 2018",118.0,#2018011
433,Dicom Transportation Group,Davidson,2018/4/19,"June 16, 2018",53.0,#2018010
434,"IAC Springfield, LLC",Robertson,2018/4/19,"June 13, 2018",145.0,#2018009
435,"Endura Products Tennessee, LLC",White,2018/4/9,"April 9, 2018",75.0,#2018008
436,Bemis,Bedford,2018/1/23,"August 31, 2018",77.0,#2018003
437,Sam's Club,Davidson,2018/1/11,"March 16, 2018",132.0,WARN #20180002
438,Sam's Club,Shelby,2018/1/11,"March 16, 2018",162.0,WARN # 20180001
439,"Maplehurst Bakeries, LLC",Davidson,2017/12/28,"February 23, 2018",145.0,WARN # 20170054
440,AGC Flat Glass,Hawkins,2017/12/19,"February 5, 2018",50.0,WARN # 20170053
441,WestRock,Marion,2017/12/14,"February 8, 2018",76.0,WARN # 20170052
442,Aparium Hospitality Group LLC dba Madison Hotel Memphis,Shelby,2017/11/21,"January 15, 2018",33.0,WARN # 20170051
443,"Kopper Glo Mining, LLC",Claiborne,2017/11/21,"January 8, 2018",70.0,WARN # 20170050
444,"Adient, plc",Gibson,2017/11/2,"December 31, 2017",146.0,WARN # 20170049
445,Luxottica Retail North America Inc.,Shelby,2017/10/26,"December 31, 2017",208.0,WARN # 20170048
446,VELSICOL CHEMICAL CORP,Shelby County,01/05/2012,07/01/2011,35.0,
447,Sergeant's Pet Care Products Inc.,Shelby County,01/09/2012,01/10/2012,43.0,
448,"Food Lion, Store #934",Marshall County,01/17/2012,01/10/2012,22.0,
449,"Food Lion, Store # 1457",Davidson County,01/17/2012,01/13/2012,26.0,
450,Food Lion #395,Hamblen County,01/17/2012,02/07/2012,40.0,
451,Food Lion #1436,Greene County,01/17/2012,02/11/2012,23.0,
452,Food Lion #660,Sevier County,01/17/2012,02/12/2012,29.0,
453,Food Lion #268,Washington County,01/17/2012,02/15/2012,34.0,
454,"Ryan's Grill, Buffet and Bakery",Washington County,01/20/2012,01/19/2012,25.0,
455,Anchor High Grill,Sumner County,01/20/2012,01/31/2012,12.0,
456,Food Lion #1429,Sumner County,01/20/2012,02/01/2012,35.0,
457,Food Lion #1470,Rutherford County,01/20/2012,02/01/2012,35.0,
458,Food Lion #1509,Rutherford County,01/20/2012,02/01/2012,30.0,
459,Food Lion #704,Rutherford County,01/20/2012,02/01/2012,40.0,
460,Food Lion #7171,White County,01/20/2012,02/01/2012,40.0,
461,Eaton Corporation,Shelby County,01/23/2012,02/15/2012,47.0,
462,Food Lion #956,Montgomery County,01/26/2012,01/30/2012,38.0,
463,Food Lion Store # 1088,Bradley County,02/02/2012,01/27/2012,31.0,
464,Food Lion Store # 1201,Hamilton County,02/02/2012,01/27/2012,45.0,
465,Food Lion Store # 1266,Hamilton County,02/02/2012,01/27/2012,36.0,
466,Food Lion Store # 428,Hamilton County,02/02/2012,01/27/2012,33.0,
467,Food Lion Store # 629,Hamilton County,02/02/2012,01/27/2012,42.0,
468,Food Lion Store # 661,Hamilton County,02/02/2012,01/27/2012,50.0,
469,Food Lion Store # 794,McMinn County,02/02/2012,01/27/2012,37.0,
470,Food Lion Store # 846,Hamilton County,02/02/2012,01/27/2012,40.0,
471,Food Lion Store # 851,Hamilton County,02/02/2012,01/27/2012,45.0,
472,Tennessee Health Management,Decatur County,02/02/2012,01/31/2012,15.0,
473,Foamworks Inc,Hamblen County,02/03/2012,02/03/2012,13.0,
474,"CVG, Inc.",Monroe County,02/08/2012,01/06/2011,220.0,
475,Amnicola Church Publishing Company,Hamilton County,02/09/2012,02/10/2012,33.0,
476,Sea Ray Boats Knoxville Plant,Knox County,02/13/2012,01/12/2012,24.0,
477,Colonial Hills Nursing Center.,Blount County,02/13/2012,01/20/2012,222.0,
478,Food Lion # 1408,Blount County,02/13/2012,02/06/2012,30.0,
479,Food Lion # 700,Anderson County,02/13/2012,02/06/2012,30.0,
480,Food Lion # 761,Cumberland County,02/13/2012,02/06/2012,30.0,
481,Food Lion #824,Knox County,02/13/2012,02/06/2012,30.0,
482,Food Lion Distribution Center 6,Anderson County,02/13/2012,02/18/2012,220.0,
483,"Briggs and Stratton Power Products Group,
LLC",Dyer County,02/13/2012,03/01/2012,231.0,
484,PACA Body Armor,Campbell County,02/13/2012,03/03/2012,86.0,
485,Bechtel Jacobs Co LLC,Anderson County,02/21/2012,07/28/2011,49.0,
486,Personnel Placements LLC,Madison County,02/21/2012,03/01/2012,350.0,
487,"Hardees, Inc",Perry County,02/22/2012,02/13/2012,14.0,
488,"Persona, Inc",Hickman County,02/22/2012,02/27/2012,27.0,
489,Macy's at Hickory Hollow,Davidson County,02/22/2012,03/08/2012,85.0,
490,"AmMed Direct, Inc.",Davidson County,03/05/2012,02/28/2012,218.0,
491,BAE Systems,Jefferson County,03/07/2012,03/09/2012,57.0,
492,"Lifetouch Services, Inc.",Hamilton County,03/08/2012,03/30/2012,350.0,
493,"National Envelope, Inc.",Davidson County,03/12/2012,05/07/2012,109.0,
494,Sentinel Fire Protection Inc.,Bradley County,03/14/2012,03/09/2012,22.0,
495,Sole Supports,Hickman County,03/14/2012,03/09/2012,7.0,
496,"NA Industries, Inc.",Hamilton County,03/14/2012,05/31/2012,30.0,
497,H and H Piggly Wiggly,Bedford County,03/16/2012,03/09/2012,5.0,
498,Jones Apparel,Not Identified,03/20/2012,04/04/2012,48.0,
499,Direct General,Davidson County,03/20/2012,04/16/2012,8.0,
500,Graftech International,Maury County,03/27/2012,03/30/2012,15.0,
501,NESTAWAY LLC,Carroll County,03/28/2012,03/27/2012,22.0,
502,Insyte Solutions,Lawrence County,04/04/2012,03/22/2012,62.0,
503,North American Container Corp.,Lawrence County,04/04/2012,03/29/2012,7.0,
504,SEARS,Bradley County,04/09/2012,04/15/2012,42.0,
505,River Trust Solutions,Hamilton County,04/09/2012,04/16/2012,30.0,
506,Masco Bath Corp.,McNairy County,04/10/2012,06/29/2012,100.0,
507,"Earthgrains Baking Companies, Inc.",Knox County,04/12/2012,05/21/2012,60.0,
508,Cannon Equipment,Not Identified,04/17/2012,06/29/2012,71.0,
509,Best Buy,Davidson County,04/23/2012,05/12/2012,70.0,
510,American Ordnance,Gibson County,04/23/2012,07/14/2012,600.0,
511,Care Apparel,Giles County,04/24/2012,04/10/2012,15.0,
512,Fun and Frolic Nursery School,Weakley County,04/26/2012,04/27/2012,5.0,
513,Perdue Farms,Putnam County,04/30/2012,04/11/2012,142.0,
514,Miller Drilling Company,Lawrence County,05/03/2012,04/27/2012,36.0,
515,Cummins Filtration,Not Identified,05/15/2012,05/11/2012,22.0,
516,MEMPHIS CITY SCHOOLS,Shelby County,05/15/2012,05/17/2012,70.0,
517,Annand Clinic,Lewis County,05/17/2012,05/11/2012,9.0,
518,Menlo Worldwide Logistics,Rutherford County,05/17/2012,06/15/2012,29.0,
519,Dillard's Fulfillment Center,Davidson County,05/17/2012,06/23/2012,125.0,
520,Rose's Department Store,Rutherford County,05/17/2012,07/01/2012,16.0,
521,Ferry-Morse Seed Co.,Obion County,05/25/2012,05/18/2012,200.0,
522,Pilgrim's,Hamilton County,05/25/2012,05/25/2012,71.0,
523,Yale Locks & Hardware,Loudon County,05/25/2012,08/31/2012,222.0,
524,"Briggs Plumbing Products, Inc.",Knox County,05/29/2012,06/26/2012,90.0,
525,DALPHIS AMERICA LLC,Shelby County,05/30/2012,05/18/2012,75.0,
526,Town of Smyrna,Rutherford County,06/01/2012,05/11/2012,22.0,
527,"MI Windows and Doors, Inc.",Rutherford County,06/01/2012,05/22/2012,103.0,
528,Dex One,Not Identified,06/13/2012,08/31/2012,8.0,
529,Kingsport Book,Hawkins County,06/14/2012,06/14/2012,7.0,
530,Town of Smyrna,Rutherford County,06/18/2012,06/13/2012,18.0,
531,Tennessee Center for Child Welfare,Bedford County,06/18/2012,06/30/2012,45.0,
532,Economy Pencil Co. Inc.,Bedford County,06/18/2012,07/15/2012,30.0,
533,"Contech Castings, LLC",Not Identified,06/18/2012,07/16/2012,53.0,
534,METROPOLITAN INTER-FAITH ASSN,Shelby County,06/19/2012,05/31/2012,10.0,
535,"Communications Test Design, Inc",Not Identified,06/26/2012,11/15/2011,9.0,
536,SkyWest Airlines,Shelby County,07/02/2012,09/18/2012,23.0,
537,"G4S Technology, LLC",Hamilton County,07/03/2012,06/29/2012,29.0,
538,"Farley's & Sathers Candy Co., Inc.",Not Identified,07/03/2012,08/24/2012,167.0,
539,Sather Trucking Company,Not Identified,07/03/2012,08/24/2012,24.0,
540,EXPRESSJET AIRLINES INC,Shelby County,07/09/2012,09/17/2012,22.0,
541,Esterline Defense Technologies,Gibson County,07/17/2012,06/28/2012,9.0,
542,"Farley's and Sathers Candy Company, INC",Not Identified,07/24/2012,08/24/2012,20.0,
543,Scott County Hospital,Scott County,07/26/2012,05/24/2012,220.0,
544,United Ammunition Container Inc,Gibson County,07/26/2012,07/26/2012,12.0,
545,Memorial Health Care System,Hamilton County,07/30/2012,07/26/2012,61.0,
546,Bioscrip,Lincoln County,07/30/2012,07/27/2012,54.0,
547,Rock-Tenn Company,Knox County,07/30/2012,09/08/2012,89.0,
548,Comcast Cable Communications,Claiborne County,07/31/2012,08/22/2012,52.0,
549,Gaylord Entertainment,Davidson County,08/10/2012,10/01/2012,310.0,
550,Becromal America,Not Identified,08/16/2012,04/13/2012,36.0,
551,Lakeshore Mental Health Institute,Knox County,08/16/2012,06/29/2012,270.0,
552,Dairy Farmers of America,Knox County,08/16/2012,08/24/2012,10.0,
553,Jones Distribution Corporation,Not Identified,08/16/2012,10/08/2012,92.0,
554,Flowers Bakery,Hamblen County,08/17/2012,08/31/2012,42.0,
555,Bemis Flexible Packaging (Milprint Division),Bedford County,08/17/2012,09/01/2012,28.0,
556,"Schneider Electric, U.S.A.",Not Identified,08/20/2012,08/01/2012,49.0,
557,Vacumet Metallized Paper,Hamblen County,08/28/2012,08/31/2012,17.0,
558,ConAgra Foods,Davidson County,08/30/2012,10/31/2012,42.0,
559,Behlen Manufacturing Co.,Carroll County,09/04/2012,09/07/2012,35.0,
560,RR Donnelley,Not Identified,09/12/2012,11/12/2012,111.0,
561,United Knitting LP,Not Identified,09/18/2012,06/01/2012,14.0,
562,Ritz Camera and Image dba Wolf Camera,Sumner County,09/18/2012,10/31/2012,7.0,
563,Wolf Camera,Williamson County,09/21/2012,10/15/2012,5.0,
564,Wolf Camera,Davidson County,09/21/2012,10/15/2012,7.0,
565,Graftech International,Maury County,09/24/2012,09/28/2012,15.0,
566,Ampco,Hamblen County,09/26/2012,09/28/2012,7.0,
567,Thomasville Home Furnishings,Knox County,09/27/2012,06/08/2012,14.0,
568,The Centurian,Knox County,09/27/2012,09/28/2012,8.0,
569,RITZ CAMERA & IMAGE LLC,Shelby County,09/27/2012,09/30/2012,7.0,
570,Ritz Camera & Image LLC,Knox County,09/27/2012,10/10/2012,10.0,
571,Walgreens (formerly Super D),Henry County,09/27/2012,10/23/2012,12.0,
572,Walgreens (formerly Super D),Obion County,10/04/2012,10/23/2012,11.0,
573,Super D Drugstore,Henderson County,10/04/2012,10/25/2012,4.0,
574,CAMBRIDEPORT AIR SYSTEMS,Shelby County,10/08/2012,08/08/2012,27.0,
575,ST CLAIR FOODS INC,Shelby County,10/08/2012,09/20/2012,16.0,
576,"KNOWLEDGE UNIVERSE EDUCATION
LLC",Shelby County,10/08/2012,09/28/2012,9.0,
577,RITZ CAMERA & IMAGE LLC,Shelby County,10/08/2012,09/30/2012,7.0,
578,American Airlines,Davidson County,10/08/2012,10/15/2012,59.0,
579,AMERICAN AIRLINES INC,Shelby County,10/08/2012,10/16/2012,35.0,
580,INVISTA,Hamilton County,10/18/2012,08/01/2012,72.0,
581,Timken,Not Identified,10/18/2012,10/19/2012,36.0,
582,APS Healthcare,Williamson County,10/18/2012,12/31/2012,37.0,
583,"Cleveland Tubing, Inc.",Bradley County,10/24/2012,10/31/2012,5.0,
584,Exide Technologies,Not Identified,10/24/2012,12/17/2012,167.0,
585,RockTenn Services Inc.,Shelby County,10/29/2012,10/31/2012,39.0,
586,J M SMUCKER LLC,Shelby County,10/29/2012,11/16/2012,89.0,
587,Brunswick Boat Group (Sea Ray Boats),Not Identified,10/31/2012,12/27/2012,224.0,
588,Piccadilly Restaurant,Hamilton County,11/05/2012,10/08/2012,31.0,
589,Cummins Filtration,Not Identified,11/05/2012,11/01/2012,31.0,
590,JACOBSON WAREHOUSE CO,Shelby County,11/05/2012,12/07/2012,30.0,
591,VYN-ALL Pool Products,Carroll County,11/06/2012,11/16/2012,24.0,
592,Esselte Corporation,Not Identified,11/08/2012,03/31/2013,94.0,
593,AGC Flat Glass North America,Not Identified,11/14/2012,11/07/2012,66.0,
594,"Capital City Mattress Co., Inc.",Davidson County,11/26/2012,11/20/2012,9.0,
595,Wonder Hostess Bakery Outlet,Not Identified,12/03/2012,11/16/2012,19.0,
596,Hostess Brands #2710,Shelby County,12/05/2012,11/21/2012,30.0,
597,Hostess Brands #2714,Shelby County,12/05/2012,11/21/2012,62.0,
598,BlueCross / BlueSheild of TN,Hamilton County,12/06/2012,11/19/2012,37.0,
599,Hostess Brands #1006,Shelby County,12/06/2012,11/21/2012,204.0,
600,"Propex Operating Company, LLC",Hamilton County,12/06/2012,11/30/2012,30.0,
601,American Esoteric Laboratories,Shelby County,12/07/2012,01/11/2013,70.0,
602,COMCAST CABLEVISION CORP,Shelby County,12/07/2012,01/28/2013,70.0,
603,Advance Auto Parts,Anderson County,12/10/2012,02/23/2013,87.0,
604,H.B. Fuller,Madison County,12/12/2012,01/04/2013,38.0,
605,Hostess Brands #2246,Putnam County,12/13/2012,11/21/2012,15.0,
606,Hostess Brands #2611,Wilson County,12/13/2012,11/21/2012,13.0,
607,Hostess Brands #2781,Rutherford County,12/13/2012,11/21/2012,14.0,
608,Dura Automotive Systems,Gibson County,12/27/2012,12/17/2012,30.0,
609,Hostess Brands # 2177,Hamilton County,01/02/2013,11/26/2012,2.0,
610,Sears,Hamblen County,01/11/2013,01/13/2013,64.0,
611,PINNACLE AIRLINES INC,Shelby County,01/11/2013,02/01/2013,97.0,
612,"Bunge Oils, Inc.",Hamilton County,01/11/2013,02/15/2013,85.0,
