,company_name,location,notice_date,layoff_date,employees_affected,Type (Closing/Layoff)
542,"Modern Times Drinks, Inc.",San Diego County,08/09/2022,10/04/2022,57,Closure Permanent
543,"Modern Times Drinks, Inc.",San Diego County,08/09/2022,10/04/2022,16,Closure Permanent
544,"Modern Times Drinks, Inc.",San Diego County,08/09/2022,10/04/2022,3,Closure Permanent
545,"Modern Times Drinks, Inc.",San Diego County,08/09/2022,10/04/2022,15,Closure Permanent
546,Godspeed Logistics LLC,Los Angeles County,08/03/2022,10/04/2022,64,Closure Permanent
547,"Safran Cabin Galleys US, Inc.",Orange County,08/04/2022,10/07/2022,100,Closure Permanent
548,Hubbell Power Systems,San Bernardino County,08/05/2022,10/05/2022,193,Closure Permanent
549,San Francisco Housing Authority,San Francisco County,07/29/2022,09/30/2022,15,Layoff Permanent
550,San Francisco Housing Authority,San Francisco County,07/29/2022,09/30/2022,65,Layoff Permanent
551,San Francisco Housing Authority,San Francisco County,07/29/2022,09/30/2022,66,Layoff Permanent
552,"HCI, LLC",Riverside County,08/08/2022,08/08/2022,111,Closure Permanent
553,"HCI, LLC",Riverside County,08/08/2022,08/08/2022,30,Closure Permanent
554,"HCI, LLC",Riverside County,08/08/2022,08/08/2022,31,Closure Permanent
555,"HCI, LLC",San Bernardino County,08/08/2022,08/08/2022,109,Closure Permanent
556,Fasnap Corporation,Orange County,08/11/2022,10/31/2022,5,Closure Permanent
557,"Wallboard Tool Co., Inc.",Los Angeles County,08/01/2022,09/30/2022,100,Closure Permanent
558,"Tempo Automation, Inc.",San Francisco County,08/08/2022,08/19/2022,54,Layoff Permanent
559,Shift Technologies Inc.,Los Angeles County,08/09/2022,10/08/2022,77,Layoff Permanent
560,Shift Technologies Inc.,Alameda County,08/09/2022,10/08/2022,52,Layoff Permanent
561,"Teva Parental Medicines, Inc.",Orange County,03/22/2022,06/14/2022,305,Closure Permanent
562,Shift Technologies Inc.,Sacramento County,08/09/2022,10/08/2022,81,Closure Permanent
563,Shift Technologies Inc.,San Diego County,08/09/2022,10/08/2022,53,Closure Permanent
564,Shift Technologies Inc.,Los Angeles County,08/09/2022,10/08/2022,33,Closure Permanent
565,Timber Products Company,Amador County,08/15/2022,08/10/2022,145,Closure Permanent
566,Atara Biotherapeutics,San Mateo County,08/08/2022,10/07/2022,14,Layoff Permanent
567,Malwarebytes,Santa Clara County,08/12/2022,08/15/2022,47,Layoff Permanent
568,"Avanir Pharmaceuticals, Inc.",Orange County,08/15/2022,10/14/2022,16,Layoff Permanent
569,Atara Biotherapeutics,Ventura County,08/08/2022,10/07/2022,55,Layoff Permanent
570,Atara Biotherapeutics,Ventura County,08/08/2022,10/07/2022,8,Layoff Permanent
571,Autodesk,Marin County,08/15/2022,10/14/2022,578,Closure Permanent
572,Promenade Care Center LLC,Fresno County,08/03/2022,09/30/2022,111,Closure Permanent
573,Silgan Containers,Stanislaus County,07/29/2022,10/03/2022,51,Layoff Temporary
574,Silgan Containers,Stanislaus County,08/11/2022,10/10/2022,35,Layoff Temporary
575,King&rsquo;s Fish House,San Bernardino County,07/21/2022,10/11/2022,74,Closure Temporary
576,"PACT Pharma, Inc.",San Mateo County,08/19/2022,09/30/2022,51,Layoff Permanent
577,Zymergen Inc.,Alameda County,08/25/2022,10/24/2022,80,Layoff Permanent
578,"Cal-Multi, LLC",San Diego County,08/26/2022,10/31/2022,100,Layoff Permanent
579,"Santa Teresita, Inc.",Los Angeles County,08/29/2022,10/31/2022,96,Closure Permanent
580,"NBCUniversal Media, LLC and NBCUniversal
Production Services, LLC",Los Angeles County,08/26/2022,10/25/2022,37,Layoff Permanent
581,Dacor,Los Angeles County,08/26/2022,10/28/2022,91,Layoff Permanent
582,Mechanics Bank,Santa Barbara County,08/25/2022,10/03/2022,56,Closure Permanent
583,"Snap, Inc. wholly owned subsidiary of PSA Risk
Management Services Inc.",Los Angeles County,08/31/2022,09/01/2022,401,Layoff Permanent
584,Infineon Technologies Americas Corp.,Riverside County,08/31/2022,11/01/2022,375,Closure Permanent
585,"Snap Inc., subsidiary of PSA Risk Management
Services",Santa Clara County,08/31/2022,09/01/2022,44,Layoff Permanent
586,Elwyn California,Orange County,09/01/2022,09/30/2022,51,Layoff Permanent
587,"Snap, Inc. wholly owned subsidiary of PSA Risk
Management Services Inc.",San Francisco County,08/31/2022,09/01/2022,40,Layoff Permanent
588,Bakersfield Physical Therapy Clinic,Kern County,09/01/2022,10/31/2022,9,Closure Permanent
589,USRA at AFRC,Los Angeles County,09/01/2022,10/14/2022,17,Layoff Permanent
590,USRA at AFRC,Los Angeles County,09/01/2022,01/31/2023,5,Layoff Permanent
591,"Reali, Inc.",San Mateo County,09/03/2022,09/09/2022,132,Closure Permanent
592,"ABM Industry Groups, LLC",San Bernardino County,09/01/2022,10/31/2022,66,Layoff Permanent
593,"GoodRx, Inc.",Los Angeles County,08/31/2022,10/30/2022,69,Layoff Permanent
594,"Triple B Corporation at Jardines Farming and
Harvesting Operations",San Benito County,09/08/2022,11/11/2022,48,Closure Permanent
595,Syncreon,Los Angeles County,09/06/2022,11/11/2022,33,Closure Permanent
596,"Eko Devices, Inc.",Alameda County,08/05/2022,12/31/2022,5,Closure Permanent
597,Sierra Monitor Corporation,Santa Clara County,09/07/2022,04/30/2023,26,Closure Permanent
598,Fresh Ideas Flower Company,Stanislaus County,09/06/2022,11/05/2022,13,Layoff Permanent
599,Temple-Culberson Enterprises LLC,Los Angeles County,09/08/2022,11/08/2022,50,Closure Permanent
600,"Clairemont Healthcare & Wellness Centre, LLC dba
Abby Gardens Healthcare Center",San Diego County,08/18/2022,10/22/2022,104,Closure Permanent
601,USRA at ARC,Santa Clara County,09/09/2022,09/30/2023,1,Layoff Permanent
602,USRA at ARC,Santa Clara County,09/09/2022,10/14/2022,2,Layoff Permanent
603,USRA at ARC,Santa Clara County,09/09/2022,09/29/2023,2,Layoff Permanent
604,USRA at ARC,Santa Clara County,09/09/2022,04/28/2023,5,Layoff Permanent
605,USRA at ARC,Santa Clara County,09/09/2022,06/30/2023,2,Layoff Permanent
606,USRA at ARC,Santa Clara County,09/09/2022,09/23/2023,1,Layoff Permanent
607,USRA at ARC,Santa Clara County,09/09/2022,01/31/2023,4,Layoff Permanent
608,USRA at ARC,Santa Clara County,09/09/2022,09/30/2022,4,Layoff Permanent
609,USRA at ARC,Santa Clara County,09/09/2022,05/31/2023,3,Layoff Permanent
610,USRA at ARC,Santa Clara County,09/09/2022,06/16/2023,8,Layoff Permanent
611,USRA at ARC,Santa Clara County,09/09/2022,09/30/2024,1,Layoff Permanent
612,USRA at ARC,Santa Clara County,09/09/2022,10/28/2023,2,Layoff Permanent
613,USRA at ARC,Santa Clara County,09/09/2022,04/30/2023,1,Layoff Permanent
614,USRA at ARC,Santa Clara County,09/09/2022,06/15/2023,3,Layoff Permanent
615,USRA at ARC,Santa Clara County,09/09/2022,02/28/2023,1,Layoff Permanent
616,USRA at ARC,Santa Clara County,09/09/2022,09/20/2024,1,Layoff Permanent
617,Bristol-Myers Squibb,San Diego County,09/07/2022,11/17/2022,92,Closure Permanent
618,Bristol-Myers Squibb,San Diego County,09/07/2022,11/17/2022,169,Closure Permanent
619,AbbVie Inc.,Orange County,09/13/2022,11/23/2022,99,Layoff Permanent
620,Mouser Electronics,San Diego County,09/13/2022,12/16/2022,10,Closure Permanent
621,"Marriott Resorts Hospitality Corporation and Marriott
Ownership Resorts, Inc.",San Francisco County,09/13/2022,11/11/2022,69,Layoff Temporary
622,Bakersfield Heart Hospital,Kern County,09/06/2022,11/05/2022,115,Layoff Permanent
623,"Curative, Inc.",Los Angeles County,09/02/2022,11/02/2022,109,Closure Permanent
624,"Brentwood Originals, Inc.",Los Angeles County,09/14/2022,11/18/2022,113,Closure Permanent
625,Musco Family Olive Co.,Glenn County,09/14/2022,11/07/2022,13,Layoff Temporary
626,"Genapsys, Inc.",San Mateo County,09/14/2022,09/14/2022,1,Closure Permanent
627,Hobie Cat Co.,San Diego County,09/07/2022,11/30/2022,137,Layoff Permanent
628,"Transamerican Auto Parts (TAP) Manufacturing LLC
and TAP Worldwide LLC",San Diego County,09/08/2022,11/08/2022,73,Closure Permanent
629,Twilio,San Francisco County,09/14/2022,11/15/2022,108,Layoff Permanent
630,"Direct Delivery Service, Inc.",Contra Costa County,09/08/2022,11/08/2022,49,Closure Permanent
631,"Direct Delivery Service, Inc.",Sacramento County,09/08/2022,11/08/2022,49,Closure Permanent
632,"Direct Delivery Service, Inc.",San Joaquin County,09/08/2022,11/08/2022,41,Closure Permanent
633,"G&C Staffing, LLC",Santa Clara County,09/16/2022,11/15/2022,66,Layoff Permanent
634,"Granular, Inc. wholly owned subsidiary of Corteva, Inc.",San Francisco County,09/19/2022,11/18/2022,57,Closure Permanent
635,Onsemi,Santa Clara County,09/19/2022,11/17/2022,88,Closure Permanent
636,Nordstrom,Los Angeles County,09/20/2022,11/21/2022,79,Closure Permanent
637,"Tremor International, LTD",San Mateo County,09/19/2022,11/18/2022,49,Layoff Permanent
638,"Gap, Inc.",San Francisco County,09/20/2022,11/07/2022,104,Layoff Permanent
639,"Gap, Inc.",San Francisco County,09/20/2022,11/07/2022,7,Layoff Permanent
640,Schneider Electric,Fresno County,09/22/2022,11/23/2022,15,Closure Permanent
641,Kitty Hawk Corporation Location 1,Santa Clara County,09/21/2022,11/02/2022,18,Closure Permanent
642,Kitty Hawk Corporation Location 2,Santa Clara County,09/21/2022,11/02/2022,69,Closure Permanent
643,Kitty Hawk Corporation Location 3,Santa Clara County,09/21/2022,11/02/2022,11,Closure Permanent
644,Kitty Hawk Corporation Location 4,Santa Clara County,09/21/2022,11/02/2022,2,Closure Permanent
645,Summit Funding Inc.,Sacramento County,09/23/2022,11/23/2022,72,Layoff Permanent
646,"WeDriveU, Inc.",Alameda County,09/26/2022,11/26/2022,51,Layoff Permanent
647,"Nutrition Corp, Inc. dba Fresh &lsquo;N Lean",Orange County,09/26/2022,11/27/2022,353,Layoff Permanent
648,"WeDriveU, Inc.",San Mateo County,09/26/2022,11/26/2022,46,Layoff Permanent
649,"Dreyer's Grand Ice Cream, Inc.",Kern County,09/21/2022,11/23/2022,905,Layoff Temporary
650,Hallcon Corporation,San Francisco County,09/26/2022,11/25/2022,63,Layoff Permanent
651,"Dreyer's Grand Ice Cream, Inc.",Tulare County,09/20/2022,11/22/2022,308,Layoff Temporary
652,"NBCUniversal Media, LLC and NBC West, LLC",Los Angeles County,09/14/2022,11/14/2022,10,Layoff Permanent
653,"Lucas Oil Products, Inc. with subsidiaries of Mav'rick
Entertainment Network, Inc.",Riverside County,09/28/2022,11/28/2022,93,Closure Permanent
654,Amentum,San Diego County,09/16/2022,10/15/2022,70,Layoff Permanent
655,Albertson's Santa Fe Springs Pharmacy,Los Angeles County,09/29/2022,12/02/2022,21,Closure Permanent
656,Airgas,Los Angeles County,09/30/2022,12/01/2022,28,Closure Permanent
657,"Oracle America, Inc.",San Mateo County,08/04/2022,10/03/2022,201,Layoff Permanent
658,Skinny Labs Inc. dba SPIN,San Francisco County,09/29/2022,11/29/2022,49,Layoff Permanent
659,"Alforex Seeds, LLC wholly owned subsidiary of Corteva,
Inc.",Yolo County,09/30/2022,12/11/2022,7,Layoff Permanent
660,"Buca Restaurants 2, Inc. dba Buca di Beppo Italian
Restaurant",San Diego County,10/03/2022,12/02/2022,44,Closure Permanent
661,The Honest Kitchen,Los Angeles County,10/07/2022,12/06/2022,6,Closure Permanent
662,BioMarin Pharmaceutical Inc.,Marin County,10/06/2022,12/06/2022,62,Layoff Permanent
663,BioMarin Pharmaceutical Inc.,Marin County,10/06/2022,12/06/2022,32,Layoff Permanent
664,"Grocery Delivery E-Services USA, Inc. dba HelloFresh",Contra Costa County,10/10/2022,12/11/2022,611,Closure Permanent
665,King's Fish House,San Bernardino County,10/06/2022,01/08/2023,94,Closure Temporary
666,Clear Capital,Placer County,10/11/2022,12/16/2022,108,Layoff Permanent
667,"Keeco, LLC",San Bernardino County,10/11/2022,12/30/2022,168,Closure Permanent
668,"Colonial Savings, F.A.",Orange County,10/14/2022,12/31/2022,27,Closure Permanent
669,"Colonial Savings, F.A.",Orange County,10/14/2022,12/31/2022,27,Closure Permanent
670,"Astreya Partners, LLC at Meta Platforms Inc. facility",Alameda County,10/18/2022,11/18/2022,144,Layoff Permanent
671,"Acuity Brands Lighting, Inc. dba Sunoptics",Sacramento County,10/10/2022,12/09/2022,98,Closure Permanent
672,Egomotion Corp. dba Zeus Living,San Francisco County,10/17/2022,12/16/2022,31,Layoff Permanent
673,CS DPS Holdings G4 Facility,Los Angeles County,10/17/2022,12/16/2022,103,Closure Permanent
674,"Starry, Inc.",Los Angeles County,10/20/2022,10/21/2022,56,Layoff Permanent
675,Jabil Inc.,Orange County,10/20/2022,12/23/2022,73,Closure Temporary
676,Jabil Inc.,Santa Clara County,10/20/2022,12/26/2022,484,Closure Temporary
677,Zymergen Inc.,Alameda County,10/18/2022,12/19/2022,110,Layoff Permanent
678,Ademco Inc.,San Diego County,10/20/2022,12/20/2022,127,Layoff Temporary
679,"Jabil, Inc.",Alameda County,10/24/2022,12/23/2022,549,Closure Temporary
680,"Jabil, Inc.",Alameda County,10/24/2022,12/23/2022,123,Closure Temporary
681,FormFactor,Alameda County,10/25/2022,10/28/2022,52,Layoff Permanent
682,Zekelman Industries dba Western Tube,Los Angeles County,10/24/2022,12/29/2022,170,Closure Permanent
683,"Avanir Pharmaceuticals, Inc.",Orange County,10/24/2022,12/31/2022,109,Layoff Permanent
684,UTC Restaurant Ventures LLC dba Great Maple,San Diego County,10/23/2022,12/23/2022,61,Closure Permanent
685,Jabil Inc.,San Joaquin County,10/21/2022,12/25/2022,83,Closure Temporary
686,Jabil Inc.,Solano County,10/24/2022,12/18/2022,51,Closure Temporary
687,Pennymac,Los Angeles County,10/25/2022,12/30/2022,20,Layoff Permanent
688,Pennymac,Placer County,10/25/2022,12/30/2022,1,Layoff Permanent
689,"CareFusion Resources, LLC, a subsidiary of Becton,
Dickinson and Company",San Diego County,09/30/2022,10/14/2022,26,Layoff Permanent
690,"CareFusion Resources, LLC, a subsidiary of Becton,
Dickinson and Company",San Diego County,09/30/2022,10/14/2022,58,Layoff Permanent
691,"Roth Staffing Companies, L.P. dba Ultimate Staffing
Services at FormFactor, Inc.",Alameda County,10/25/2022,10/25/2022,164,Layoff Permanent
692,"TAP Manufacturing LLC and TAP Worldwide LLC dba 4
Wheel Parts",Los Angeles County,10/05/2022,12/31/2022,293,Layoff Permanent
693,Pennymac,Ventura County,10/25/2022,12/30/2022,12,Layoff Permanent
694,Pennymac,Ventura County,10/25/2022,12/30/2022,27,Layoff Permanent
695,Pennymac,Ventura County,10/25/2022,12/30/2022,10,Layoff Permanent
696,Terre du Soleil dba Auberge du Soleil,Napa County,10/25/2022,01/02/2023,206,Closure Temporary
697,"Demetrix, Inc.",Alameda County,09/30/2022,11/30/2022,4,Layoff Permanent
698,Selman Breitman LLP,Los Angeles County,10/28/2022,12/31/2022,81,Closure Permanent
699,Scotts Temecula Operations LLC,Riverside County,10/27/2022,12/31/2022,15,Layoff Permanent
700,"Mindbody, Inc.",San Luis Obispo County,10/26/2022,11/01/2022,94,Layoff Permanent
701,Cepheid,Alameda County,08/16/2022,10/18/2022,632,Closure Permanent
702,Cepheid,Alameda County,08/16/2022,10/18/2022,36,Closure Permanent
703,Cepheid,Santa Clara County,08/16/2022,10/18/2022,250,Layoff Permanent
704,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
705,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
706,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
707,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
708,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
709,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
710,Cepheid,Santa Clara County,08/16/2022,10/18/2022,1,Layoff Permanent
711,Cepheid,San Joaquin County,08/16/2022,10/18/2022,20,Layoff Permanent
712,Cepheid,San Joaquin County,08/16/2022,10/18/2022,1,Layoff Permanent
713,Cepheid,San Joaquin County,08/16/2022,10/18/2022,1,Layoff Permanent
714,Cepheid,San Joaquin County,08/16/2022,10/18/2022,1,Layoff Permanent
715,"Lucira Health, Inc.",Alameda County,10/28/2022,12/30/2022,41,Layoff Permanent
716,"Lucira Health, Inc.",Alameda County,10/28/2022,12/30/2022,4,Layoff Permanent
717,American Advisors Group,Orange County,10/28/2022,10/28/2022,204,Layoff Permanent
718,"Lucira Health, Inc.",San Diego County,10/28/2022,12/30/2022,5,Layoff Permanent
719,"Legoland California, LLC dba Legoland California Resort",San Diego County,10/31/2022,01/14/2023,558,Layoff Permanent
720,Chinese Community Health Care Association,San Francisco County,10/31/2022,12/31/2022,68,Layoff Permanent
721,"Lucira Health, Inc.",Santa Clara County,10/28/2022,12/30/2022,5,Layoff Permanent
722,"Great America Trans, Inc.",Los Angeles County,10/27/2022,12/30/2022,9,Closure Permanent
723,Pak &lsquo;N Save Foods,Madera County,11/01/2022,01/14/2023,80,Closure Permanent
724,"American Airlines, Inc.",San Francisco County,11/02/2022,01/31/2023,417,Closure Permanent
725,First Financial Credit Union,Orange County,10/28/2022,12/30/2022,3,Closure Permanent
726,First Financial Credit Union,San Diego County,10/28/2022,12/30/2022,2,Closure Permanent
727,"StubHub, Inc.",San Francisco County,11/01/2022,12/31/2022,9,Closure Permanent
728,First Financial Credit Union,Los Angeles County,10/28/2022,12/30/2022,2,Closure Permanent
729,"DZConneX, a subsidiary of Yoh for Curative at Berkeley
Adult School",Alameda County,10/31/2022,12/31/2022,5,Layoff Permanent
730,"Viridos, Inc.",Imperial County,10/28/2022,10/28/2022,36,Layoff Permanent
731,DZConneX at Dodger Stadium Drive Thru,Los Angeles County,10/31/2022,12/31/2022,4,Layoff Permanent
732,DZConneX at Eagle Rock Library,Los Angeles County,10/31/2022,12/31/2022,2,Layoff Permanent
733,DZConneX at Eagle Rock Recreation Center,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
734,DZConneX at Hansen Dam Drive-Thru,Los Angeles County,10/31/2022,12/31/2022,2,Layoff Permanent
735,DZConneX at Highland Park Adult Senior Citizen Center,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
736,DZConneX at Kedren Community Health Center,Los Angeles County,10/31/2022,12/31/2022,3,Layoff Permanent
737,DZConneX at Pico Union Project,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
738,DZConneX at York Boulevard Park,Los Angeles County,10/31/2022,12/31/2022,3,Layoff Permanent
739,DZConneX at University of the West,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
740,DZConneX at CA-Commissary 290,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
741,DZConneX at Cudahy Plaza Kiosk,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
742,"DZConneX at El Monte Testing Van-El Monte Aquatics
Center",Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
743,DZConneX at Huntington Park Kiosk-Salt Lake Park,Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
744,DZConneX at Montebello Plaza Kiosk,Los Angeles County,10/31/2022,12/31/2022,2,Layoff Permanent
745,DZConneX at Pacoima Center Kiosk(Food 4 Less Sign),Los Angeles County,10/31/2022,12/31/2022,1,Layoff Permanent
746,DZConneX at Puente Hills Town Center,Los Angeles County,10/31/2022,12/31/2022,3,Layoff Permanent
747,Wes Lasher Inc. dba Elk Grove Acura,Sacramento County,10/26/2022,12/01/2022,59,Closure Permanent
748,Elk Grove Auto Group Inc. dba Elk Grove Subaru,Sacramento County,10/26/2022,12/01/2022,61,Closure Permanent
749,Elk Grove Auto Group Inc. dba Elk Grove Dodge,Sacramento County,10/26/2022,12/01/2022,229,Closure Permanent
750,Elk Grove Auto Group Inc. dba Elk Grove Volkswagen,Sacramento County,10/26/2022,12/01/2022,32,Closure Permanent
751,Elk Grove Auto Group Inc. dba Elk Grove Audi,Sacramento County,10/26/2022,12/01/2022,33,Closure Permanent
752,Viridos Inc.,San Diego County,10/28/2022,10/28/2022,101,Layoff Permanent
753,"Twitter, Inc.",Los Angeles County,11/04/2022,01/04/2023,93,Layoff Permanent
754,Pennymac,Los Angeles County,10/25/2022,12/30/2022,10,Layoff Permanent
755,"Twitter, Inc.",San Francisco County,11/04/2022,01/04/2023,784,Layoff Permanent
756,"Twitter, Inc.",Santa Clara County,11/04/2022,01/04/2023,106,Layoff Permanent
757,PayPal,Santa Clara County,11/02/2022,11/19/2022,59,Layoff Permanent
758,DZConneX at City of Palo Alto Kiosk,Santa Clara County,10/31/2022,12/31/2022,1,Layoff Permanent
759,DZConneX at Daly City-Serramonte Blvd.,Santa Clara County,10/31/2022,12/31/2022,5,Layoff Permanent
760,DZConneX at Hillview Middle School,Santa Clara County,10/31/2022,12/31/2022,1,Layoff Permanent
761,Marshalls Store 113,Orange County,11/02/2022,01/14/2023,64,Closure Permanent
762,DZConneX at Bordwell Park Trailer,Riverside County,10/31/2022,12/31/2022,3,Layoff Permanent
763,"DZConneX at City of Riverside Van: Arlington Heights
Sports Park",Riverside County,10/31/2022,12/31/2022,1,Layoff Permanent
764,DZConneX at La Sierra Park Trailer,Riverside County,10/31/2022,12/31/2022,4,Layoff Permanent
765,DZConneX at Norco College Kiosk,Riverside County,10/31/2022,12/31/2022,1,Layoff Permanent
766,DZConneX at The Outlets at Lake Elsinore Testing,Riverside County,10/31/2022,12/31/2022,1,Layoff Permanent
767,DZConneX at Liberty Towers Church,Sacramento County,10/31/2022,12/31/2022,1,Layoff Permanent
768,DZConneX at St. Vincent de Paul Thrift Store,Sacramento County,10/31/2022,12/31/2022,1,Layoff Permanent
769,"TGH Employees LLC dba TAO Group, Herringbone La
Jolla",San Diego County,11/02/2022,01/01/2023,57,Closure Permanent
770,"DZConneX, a subsidiary of Yoh for Curative at
Parkmerced Kiosk",San Francisco County,10/31/2022,12/31/2022,2,Layoff Permanent
771,Chime Financial Inc.,San Francisco County,11/02/2022,01/02/2023,152,Layoff Permanent
772,"DZConneX, a subsidiary of Yoh for Curative at Vallejo
Corners Kiosk",Solano County,10/31/2022,12/31/2022,1,Layoff Permanent
773,DZConneX at Coddington Mall Kiosk,Sonoma County,10/31/2022,12/31/2022,1,Layoff Permanent
774,DZConneX at Rohnert Park Communicaty Center Kiosk,Sonoma County,10/31/2022,12/31/2022,1,Layoff Permanent
775,DZConneX at Oxnard School District Office,Ventura County,10/31/2022,12/31/2022,1,Layoff Permanent
776,DZConneX at Santa Paula Center Kiosk,Ventura County,10/31/2022,12/31/2022,1,Layoff Permanent
777,DZConneX at Burbank Ralph Foy Park,Los Angeles County,10/31/2022,12/31/2022,4,Layoff Permanent
778,DZConneX at Burbank YMCA,Los Angeles County,10/31/2022,12/31/2022,2,Layoff Permanent
779,DZConneX at Larkspur Ferry Terminal - Trailer,Marin County,10/31/2022,12/31/2022,3,Layoff Permanent
780,DZConneX at Novato Gymnastics Center Parking Lot,Marin County,10/31/2022,12/31/2022,1,Layoff Permanent
781,IMI Norgren LLC,Contra Costa County,11/03/2022,03/01/2023,29,Closure Permanent
782,Schneider Electric,Fresno County,11/03/2022,01/14/2023,2,Closure Permanent
783,"Better Holdco, Inc.",Alameda County,11/04/2022,11/04/2022,13,Closure Permanent
784,"Better Holdco, Inc.",Orange County,11/04/2022,11/04/2022,33,Layoff Permanent
785,Amazon,Orange County,11/04/2022,01/04/2023,53,Layoff Permanent
786,"Lyft, Inc.",San Francisco County,11/03/2022,11/11/2022,227,Layoff Permanent
787,"Nationstar Mortgage, LLC d/b/a Mr. Cooper",Orange County,11/04/2022,01/03/2023,175,Layoff Permanent
788,Seagate US LLC,Alameda County,11/07/2022,12/07/2022,4,Layoff Permanent
789,Seagate US LLC,Alameda County,11/07/2022,01/09/2023,80,Layoff Permanent
790,Curative Inc.,Los Angeles County,11/04/2022,01/03/2023,57,Layoff Permanent
791,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,7,Closure Permanent
792,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,2,Closure Permanent
793,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,1,Closure Permanent
794,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,1,Closure Permanent
795,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,4,Closure Permanent
796,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,6,Closure Permanent
797,Curative Inc.,Los Angeles County,10/31/2022,12/30/2022,47,Closure Permanent
798,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,2,Closure Permanent
799,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,2,Closure Permanent
800,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,13,Closure Permanent
801,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,2,Closure Permanent
802,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,3,Closure Permanent
803,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,4,Closure Permanent
804,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,2,Closure Permanent
805,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,3,Closure Permanent
806,Providence ExpressCare California,Los Angeles County,11/01/2022,01/03/2023,2,Closure Permanent
807,"Athas Capital Group, Inc.",Los Angeles County,11/04/2022,01/03/2023,23,Layoff Permanent
808,"Athas Capital Group, Inc.",Los Angeles County,11/04/2022,01/03/2023,159,Layoff Permanent
809,"Natera, Inc.",San Mateo County,11/04/2022,11/04/2022,58,Layoff Permanent
810,"Athas Capital Group, Inc.",Orange County,11/04/2022,01/03/2023,29,Layoff Permanent
811,"Meta Platforms, Inc.",Los Angeles County,11/11/2022,01/13/2023,162,Layoff Permanent
812,"Smithfield Distribution, LLC",Los Angeles County,09/22/2022,11/18/2022,"1,755",Closure Permanent
813,"Smithfield Distribution, LLC",Los Angeles County,09/22/2022,11/18/2022,121,Closure Permanent
814,"Meta Platforms, Inc.",San Francisco County,11/11/2022,01/13/2023,362,Layoff Permanent
815,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,2,Closure Permanent
816,Western Digital,Santa Clara County,11/09/2022,01/13/2023,86,Layoff Permanent
817,Aerotek at Flex LTD,Santa Clara County,11/11/2022,11/10/2022,48,Layoff Permanent
818,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,2,Closure Permanent
819,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,6,Closure Permanent
820,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,3,Closure Permanent
821,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,12,Closure Permanent
822,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,12,Closure Permanent
823,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,4,Closure Permanent
824,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,10,Closure Permanent
825,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,4,Closure Permanent
826,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,4,Closure Permanent
827,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,1,Closure Permanent
828,Providence ExpressCare California,Orange County,11/01/2022,01/03/2023,5,Closure Permanent
829,Western Digital,Orange County,11/09/2022,01/13/2023,62,Layoff Permanent
830,Sodexo Inc. at PHH Hemet Valley Medical Center,Riverside County,11/14/2022,01/13/2023,83,Closure Permanent
831,Sodexo Inc. at PHH Hemet Valley Recovery Center,Riverside County,11/14/2022,01/13/2023,14,Closure Permanent
