,company_name,location,notice_date,layoff_date,employees_affected,Industry
242,"Carter Fuel Systems, LLC",Logansport,04/01/2020,04/01/2020,128,Other Motor Vehicle Parts Manufacturing
243,Alsco Inc.,Indianapolis,03/26/2020,04/03/2020,72,Linen Supply
244,"Cinemark USA, Inc.","Valparaiso, Mishawaka and Indianapolis",03/26/2020,03/26/2020,150,Motion Picture Theaters (except Drive-Ins)
245,"Modex Global (Formerly Busche Performance Group, Inc.)","Albion, Avilla & Franklin",03/26/2020,03/31/2020,535,Machine Shops
246,"Modex Global (Formerly Busche Performance Group, Inc.)-Revised (4/28/20)","Albion, Avilla & Franklin",,,,
247,"Modex Global (Formerly Busche Performance Group, Inc.) -Revised (9/15/20)","Albion, Avilla & Franklin",,,,
248,"Autoform Tool & Mfg., LLC",Angola,03/31/2020,04/03/2020,240,Other Motor Vehicle Parts Manufacturing
249,"Collegiate Hotel Group, LLC",Bloomington,03/23/2020,03/16/2020,53,Hotel (Except Casino Hotel) and Motel
250,"Three Floyds Brewpub, LLC",Munster,03/30/2020,03/31/2020,49,Other Grocery and Related Products Merchant Wholesaler
251,"Three Floyds Distilling, LLC",Munster,03/30/2020,03/31/2020,8,Distilleries
252,"NHK Seating of America, LLC",Frankfort,03/28/2020,04/07/2020,883,Other Motor Vehicle Parts Manufacturing
253,HMS Host,Indianapolis,03/27/2020,04/01/2020,89,Food Service Contractors
254,Paper Source,Indianapolis,03/27/2020,03/29/2020,12,Printing and Writing Paper Merchant Wholesalers
255,"Coastal Credit, LLC",Indianapolis,03/23/2020,05/26/2020,127,Finance and Insurance
256,Benteler,Goshen,03/23/2020,04/13/2020,162,Motor Vehicle Metal Stamping
257,"Gaming Entertainment, LLC dba Rising Star Casino Resort",Rising Sun,03/26/2020,03/31/2020,407,Casinos (except Casino Hotels)
258,"Gaming Entertainment, LLC dba Rising Star Ferry",Rising Sun,3/26/2020,3/31/2020,10,Inland Water Freight Transportation
259,BWI Group,Greenfield,03/26/2020,03/24/2020,,Automobile Manufacturing
260,BWI Group-Revised (6/15/20),Greenfield,,,,
261,"Image One, LLC",McCordsville,03/23/2020,03/18/2020,101,Sign Manufacturing
262,"Image One, LLC-Revised (4/15/20)",McCordsville,,,,
263,"Prestige Maintenance USA, LP","Highland, Merrillville, Michigan City, Portage, Valparaiso, Elkhart, Goshen, Mishawaka, South Bend, Warsaw, Angola, Fort Wayne, Kokomo, Lafayette, Greenwood, Noblesville, Plainfield, Muncie, Richmond, Terre Haute, Jasper, Vincennes, Marion",03/25/2020,03/19/2020,69,Janitorial Services
264,Hilton Garden Inn South Bend,South Bend,03/25/2020,03/27/2020,90,Hotels (except Casino Hotels) and Motels
265,Hilton Garden Inn South Bend-Revised (6/15/20),South Bend,,,,
266,"Haynes International, Inc.",Kokomo,03/19/2020,03/22/2020,392,Machine Tool (Metal Cutting Types) Manufacturing
267,"LM Corporation, Inc.",Goshen,03/24/2020,03/23/2020,10,General Freight Trucking
268,"GDC, Inc.",GoshenElkhart,03/24/2020,03/24/2020,293,Plastics and Rubber Products Manufacturing
269,Driven Brands dba Take 5 Oil Change,"Lawrenceburg,Merrillville,Valparaiso &Crown Point",03/23/2020,03/22/2020,34,Automotive Oil Change and Lubrication Shops
270,Facility Concepts Inc.,Whitestown,03/24/2020,03/23/2020,75,Residential Remodelers
271,Double Tree by Hilton South Bend(Furlough Count by Position),South Bend,03/23/2020,03/20/2020,63,Full-Service Restaurants
272,Double Tree by Hilton South Bend-Revised (3/26/20 Notice & Positions),South Bend,,,,
273,Double Tree by Hilton South Bend-Revised (5/7/20 Notice & Positions),South Bend,,,,
274,Double Tree by Hilton South Bend-Revised (5/21/20),South Bend,,,,
275,"Cameron Mitchell Restaurant, LLC",Indianapolis,03/23/2020,03/31/2020,90,Full-Service Restaurants
276,"Calimira, LLC dba Rusty Bucket Restaurant & Tavern (Locations)",Indianapolis,03/23/2020,03/31/2020,65,Full-Service Restaurants
277,Indianapolis Marriott East,Indianapolis,03/22/2020,03/23/2020,112,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
278,Indianapolis Marriott East-Revised (5/27/20),Indianapolis,,,,
279,Double Tree Evansville,Evansville,03/22/2020,03/25/2020,83,Hotels (except Casino Hotels) and Motels
280,Double Tree Evansville-Revised (5/27/20),Evansville,,,,
281,Le Meridien Indianapolis,Indianapolis,03/22/2020,03/23/2020,35,Hotels (except Casino Hotels) and Motels
282,Le Meridien Indianapolis-Revised (6/10/20),Indianapolis,,,,
283,Mitchell Plastics,Charlestown,03/20/2020,04/03/2020,380,All Other Plastics Product Manufacturing
284,Sheraton Indianapolis at Keystone Crossing,Indianapolis,03/19/2020,03/19/2020,80,Hotels (except Casino Hotels) and Motels
285,Sheraton Indianapolis at Keystone Crossing-Revised (5/27/20),Indianapolis,,,,
286,Punch Bowl Indianapolis,Indianapolis,03/18/2020,03/16/2020,91,Full-Service Restaurants
287,Ceres Enterprises,Noblesville & Westfield,03/18/2020,03/16/2020,65,Hotels (except Casino Hotels) and Motels
288,"Direct Buy Home Products, Inc.",Merrillville,03/18/2020,03/19/2020,26,Furniture Merchant Wholesalers
289,Wayzata Home Products,Connersville,03/13/2020,03/13/2020,165,Wood Kitchen Cabinet and Countertop Manufacturing
290,Caito Foods,Indianapolis,02/27/2020,04/27/2020,333,Fresh Fruits and Vegetable Merchant Wholesalers
291,19th Capital,Indianapolis,02/26/2020,03/27/2020,199,Other Commercial and Industrial Machinery and Equipment
292,Durham School Services,Indianapolis,02/07/2020,06/30/2020,514,School and Employee Bus Transportation
293,"Genova Products, Inc.",Fort Wayne,01/28/2020,02/10/2020,116,All Other General Merchandise Stores
294,"Genova Products, Inc.",Rensselaer,01/28/2020,02/10/2020,88,All Other General Merchandise Stores
295,Dometic Corporation,LaGrange,01/22/2020,03/21/2020,197,Refrigeration Equipment and Supplies Merchant Wholesalers
296,"Merchants Metals, LLC",New Paris,01/20/2020,03/20/2020,68,Other Fabricated Wire Product Manufacturing
297,"Tri-Starr Management Services, Inc.",Jeffersonville,01/06/2020,03/08/2020,257,"Process, Physical Distribution, and Logistics Consulting Services"
298,Stanley Black & Decker,Greenfield,11/19/2019,01/23/2020,140,Machine Tool Manufacturing
299,Stanley Black & Decker-Revised (2/10/20),Greenfield,,,,
300,Stanley Black & Decker-Revised (8/19/20),Greenfield,,,,
301,"Motionwear, LLC",Indianapolis,11/14/2019,01/14/2020,146,Clothing Accessories Stores
302,"Gibson County Coal, LLC",Owensville,11/15/2019,11/15/2019,184,Bituminous Coal Underground Mining
303,Winona PVD Coatings LLC,Warsaw,10/19/2019,12/31/2019,108,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
304,Columbian Home Products,Terre Haute,09/30/2019,12/01/2019,82,All Other Misc. Fabricated Metal Product Manufacturing
305,United States Steel Corporation,East Chicago,09/06/2019,11/09/2019,314,Iron and Steel Forging
306,United States Steel Corporation-Revised (10/7/19),East Chicago,,,,
307,"Bayer U.S., LLC",Mishawaka,09/04/2019,11/08/2019,172,"All Other Professional, Scientific, and Technical Services"
308,"Nestle USA, Inc.",Indianapolis,09/02/2019,12/31/2019,172,Frozen Specialty Food Manufacturing
309,"The Mitchel Group, Inc.",Indianapolis,08/27/2019,10/25/2019,137,Manufacturing (31-33)
310,Westech Building Products,Mount Vernon,08/23/2019,11/21/2019,81,Unlaminated Plastics Profile Shape Manufacturing
311,"POET Biorefining- Cloverdale, LLC",Cloverdale,08/20/2019,10/18/2019,50,Ethyl Alcohol Manufacturing
312,"Nestle USA, Inc.",Fort Wayne,08/16/2019,10/18/2019,69,Frozen Specialty Food Manufacturing
313,"Nestle USA, Inc.-Revised (8/23/19)",Fort Wayne,,,,
314,"Caito Foods, LLC",Indianapolis,08/15/2019,10/15/19,53,Fresh Fruits and Vegetable Merchant Wholesalers
315,Justus Rental Properties,Indianapolis,08/13/19,10/14/2019,104,Management of Companies and Enterprises
316,"HOYA Optical Labs of America, Inc.",Plymouth,08/06/2019,03/02/2020,83,Opthalmic Goods Manufacturing
317,"Peabody Indiana Services, LLCAttachment 2",Oakland City,08/02/2019,10/04/2019,128,Bituminous Coal and Lignite Surface Mining
318,"Peabody Indiana Services, LLC-Revised (9/30/19)",Oakland City,,,,
319,"Peabody Indiana Services, LLC-Revised (12/27/19)",Oakland City,,,,
320,"Peabody Indiana Services, LLC-Revised (12/27/19)",Oakland City,,,,
321,"Peabody Indiana Services, LLC-Revised (3/31/20:Doc 1 & Doc 2)",Oakland City,,,,
322,"Peabody Indiana Services, LLC-Revised (6/24/20:Doc 1 & Doc 2)",Oakland City,,,,
323,Kuehne & Nagel,Indianapolis,07/30/2019,09/30/2019,241,"Process, Physical Distribution, and Logistics Consulting Services"
324,"Packer's Sanitation Services, Inc.",Cambridge City,07/26/2019,08/24/2019,55,Janitorial Services
325,Alorica,Lafayette,07/25/2019,09/27/2019,147,Marketing Consulting Services
326,State Farm Mutual Automobile Insurance Company,Indianapolis,06/26/2019,08/31/2019,97,Insurance Carriers
327,Walmart,Indianapolis,06/12/2019,07/12/2019,109,Supermarkets and Other Grocery (Except Convenience) Stores
328,EDM Americas,Indianapolis,05/20/2019,07/31/2019,88,"All Other Professional, Scientific, and Technical Services"
329,Penske Logistics,Fort Wayne,05/18/2019,07/20/2019,80,All Other Transportation Equipment Manufacturing
330,"NIBCO, Inc.",Charlestown,05/16/2019,07/19/2019,97,All Other Plastics Product Manufacturing
331,"NIBCO, Inc.-Revised (5/24/19)",Charlestown,,,,
332,"NIBCO, Inc.-Revised (6/7/19)",Charlestown,,,,
333,"NIBCO, Inc.-Revised (6/21/19)",Charlestown,,,,
334,"NIBCO, Inc.-Revised (6/28/19)",Charlestown,,,,
335,"NIBCO, Inc.-Revised (7/26/19)",Charlestown,,,,
336,"NIBCO, Inc.-Revised (8/9/19)",Charlestown,,,,
337,"NIBCO, Inc.-Revised (8/15/19)",Charlestown,,,,
338,"NIBCO, Inc.-Revised  (8/29/19)",Charlestown,,,,
339,"NIBCO, Inc.-Revised (9/13/19)",Charlestown,,,,
340,"NIBCO, Inc.-Revised (10/10/19)",Charlestown,,,,
341,"NIBCO, Inc.-Revised (11/1/19)",Charlestown,,,,
342,Schneider Electric,Peru,05/14/2019,07/12/2019,248,Switchgear and Switchboard Apparatus
343,Schneider Electric-Revised (6/25/19),Peru,,,,
344,Schneider Electric-Revised (7/31/19),Peru,,,,
345,Schneider Electric-Revised (8/29/19),Peru,,,,
346,Schneider Electric-Revised (9/23/19),Peru,,,,
347,Schneider Electric-Revised (10/28/19),Peru,,,,
348,Schneider Electric-Revised (12/27/19),Peru,,,,
349,Schneider Electric-Revised (1/28/20),Peru,,,,
350,Schneider Electric-Revised (2/24/20),Peru,,,,
351,Ryder Integrated Logistics,Plainfield,05/07/2019,07/12/2019,436,General Warehousing and Storage
352,Fayette Regional Health System,Connersville,05/03/2019,07/03/2019,437,General Medical and Surgical Hospitals
353,"Aramark Educational Services, LLC",Indianapolis,03/06/2019,05/12/2019,200,Food Service Contractors
354,Kentuckiana Medical Center,Clarksville,03/04/2019,05/01/2019,269,Hospitals
355,Matthews International Corporation,Richmond,02/27/2019,Unknown,122,Burial Casket Manufacturing
356,Matthews International Corporation-Revised (6/14/19),Richmond,,,,
357,"KGP Telecommunications, LLC",Warsaw,02/15/2019,04/17/2019,300,All Other Miscellaneous Manufacturing
358,White Stallion Energy,Boonville,02/12/2019,02/14/2019,82,Coal Mining
359,Silberline Manufacturing Co.,Decatur,01/11/2019,07/19/2019,50,"Other Aluminum Rolling, Drawing and Extruding"
360,"PMAB,LLC dba Meduit",Greensburg,12/26/2018,03/15/2019,82,Management of Companies and Enterprises
361,"Vibra Hospital of Fort Wayne, LLC",Fort Wayne,12/18/2018,01/31/2019,120,General Medical and Surgical Hospitals
362,Textron Specialized Vehicles,Coatesville,11/27/2018,2019,107,Gasoline Engine and Engine Parts Manufacturing
363,Q-Edge Corp. and Foxconn/Hon Hai Logistics Corp.,Plainfield,11/21/2018,02/28/2019,155,Electronic Computer Manufacturing
364,"Alorica, Inc.",Terre Haute,10/29/2018,12/29/2018,195,Marketing Consulting Services
365,Kmart Corporation - Sears Holdings,Griffith,10/15/2018,12/31/2018,113,Department Store
366,JD Norman Industries,Muncie,10/11/2018,12/15/2018,130,Manufacturing
367,"Cardinal Metal Finishing, LLC",Kokomo,09/27/2018,09/26/2018,79,Forging and Stamping
368,Federal-Mogul Motorparts,Indianapolis,05/16/2018,Q1 2019,83,Motor Vehicle Supplies and New Parts Merchant Wholesalers
369,LGSTX Distribution Services,Indianapolis,09/05/2018,09/30/2018,256,All Other Support Activities for Transportation
370,Quality Packaging Specialists Int'l LLC,Mooresville,09/04/2018,12/31/2018,85,Packaging and Labeling Services
371,"Andy Frain Services, Inc.",Indianapolis,08/15/2018,09/30/2018,148,Security Guards and Patrol Service
372,Charter Communications,Indianapolis,08/02/2018,08/28/2018,84,Customer Service Management Consulting Service
373,"West Pharmaceutical Services, Inc.",Frankfort,08/02/2018,11/26/2018,54,Medical Equipment and Supplies Manufacturing
374,Kindred Hospital Northern Indiana,Mishawaka,07/31/2018,09/29/2018,117,General Medical and Surgical Hospital
375,CTS Corp.,Elkhart,07/24/2018,12/31/2018,103,Electronic Resistor Manufacturing
376,First Vehicle Services,Fort Wayne,07/18/2018,09/28/2018,25,General Automotive Repair
377,Walmart Optical Lab,Crawfordsville,07/17/2018,07/17/2018,108,Ophthalmic Goods Manufacturing
378,"Koontz-Wagner Custom Controls Holdings, LLC",South Bend,07/11/2018,07/11/2018,104,Prefabricated Metal Building and Component Manufacturing
379,Monarch Beverage Co. INC,Indianapolis,06/29/2018,08/31/2018,76,Distributor of Beer and Wine
380,New Flyer,Elkhart,06/19/2018,04/05/2019,78,Transit bus and motor coach manufacturer and parts distributor.
381,Diversified Machine Bristol LLC,Bristol,06/22/2018,08/24/2018,95,Nonferrous Metal Die-Casting Foundries
382,Syneos Health (inVentic Health Inc.),Indianapolis,05/30/2018,08/14/2018,98,Clinical Research
383,"Deufol Sunman, Inc.",Sunman,05/22/2018,08/03/2018,270,Packaging Services
384,"Deufol Sunman, Inc.-Revised (5/2/19)",Sunman,,,,
385,"Deufol Sunman, Inc.-Revised (6/27/19)",Sunman,,,,
386,"Deufol Sunman, Inc.-Revised (8/2/19)",Sunman,,,,
387,"Deufol Sunman, Inc.-Revised (8/9/19)",Sunman,,,,
388,DJO Global,Plainfield,05/23/2018,10/31/2018,70,Surgical and Medical Instrument Mfg
389,DJO Global-Revised(7/26/18),Plainfield,,,,
390,DJO Global-Revised (8/23/18),Plainfield,,,,
391,DJO Global-Revised (10/5/18),Plainfield,,,,
392,Hoosier Academy,Indianapolis,05/15/2018,06/08/2018,62 MAY be affected,Charter School
393,CVR Associates,Chicago,05/9/2018,06/29/2018,5 in Indiana,Housing Assistance Agencies
394,Sodexo,Hanover,04/13/2018,06/30/2018,81,Food Services Operations
395,Bon Ton Stores (Carson's) (additional information and notice),Merrillville,04/05/2018,06/05/2018,137,Discount Department Stores
396,Jeffboat,Jeffersonville,03/26/2018,05/14/2018,207,Ship Building and Repairing
397,Readerlink Distribution Services,Indianapolis,02/28/2018,08/31/2018,147,Direct Distribution Services
398,Indianapolis Power & Light Company,"Indianapolis, Martinsville, Petersburg",02/09/2018,04/08/2018,100,Electric Power Transmission and Control
399,DHL Supply Chain,Greenfield,02/08/2018,05/04/2018,511,Transportation and integrated supply chain services
400,Bon Ton Stores (Carson's)  (additional information and notice),"Anderson, Columbus, Elkhart, Indianapolis and Marion",02/02/2018,04/30/2018,306,Discount Department Stores
401,Jeffboat,Jeffersonville,02/01/2018,04/01/2018,226,Ship Building and Repairing
402,Walmart,Rushville,02/01/2018,04/13/2018,95,Discount Department Stores
403,MV Transportation,Indianapolis,01/30/2018,03/31/2018,142,Charter Bus Industry
404,Lee Enterprises,Crown Point and Munster,01/29/2018,03/30/2018,93,Newspaper publishers and printing combined
405,Conduent Commercial Solutions,Indianapolis,01/29/2018,03/30/2018,107,Marketing Consulting Services
406,Schneider Electric,Peru,01/15/2018,03/16/2018,61,Switchgear and Switchboard Apparatus Manufacturing
407,Sony DADC US Inc.,Terre Haute,01/16/2018,03/23/2018,375,"Software and Other Pre-recorded Compact Disc, Tape and Recording Reproducing"
408,Sam's Club - W 86th Street Store,Indianapolis,01/11/2018,01/26/2018,152,Discount Department Stores
409,Sam's Club - E. Washington Street Store,Indianapolis,01/11/2018,01/26/2018,157,Discount Department Stores
410,Sam's Club - Elkhart Road Store,Goshen,01/11/2018,01/26/2018,110,Discount Department Stores
411,Kmart,Indianapolis,01/04/2018,04/08/2018,44,Discount Department Stores
412,Janesville Acoustics,Richmond,12/14/2017,08/01/2018,67,Motor vehicle parts and accessories
413,Janesville Acoustics-Revised (2/12/18),Richmond,,,,
414,Janesville Acoustics-Revised (5/30/18),Richmond,,,,
415,Care Ambulance,Indianapolis,12/08/2017,02/02/2018,82,"Ambulance services, air or ground"
416,White Lodging,Merrillville,12/06/2017,04/01/2018,50,Hotel Management Services
417,Tridien Medical,Fishers,12/04/2017,09/30/2018,69,Medical Manufacturing
418,"Prysm, Inc.",Carmel,11/22/2017,01/21/2018,61,"Computer software analysis and design services, custom"
419,Parker Hannifin Corporation,Tell City,11/02/2017,09/30/2018,61,"Gasket, Packing and Sealing Device Manufacturer"
420,Jeffboat,Jeffersonville,11/01/2017,Q1 2018,278,Ship Building and Repairing
421,Carlisle Fluid Technologies,Angola,10/30/2017,12/31/2017,31,Other Industrial Machinery Manufacturing
422,Ascensia Diabetes Care,Mishawaka,10/25/2017,12/29/2017,113,Medical Equipment and Supply
423,Technicolor,Indianapolis,10/18/2017,12/17/2017,95,Audio and Video Equipment Manufacturing
424,Harman International Industries,Elkhart,10/16/2017,12/21/2017,88,Audio and Video Equipment Manufacturing
425,Harman International Industries- Revised (11/22/17),Elkhart,,,,
426,Harman International Industries- Revised (4/20/18),Elkhart,,,,
427,Vance & Hines Performance,Brownsburg,09/19/2017,12/31/2017,70,"Motorcycle, Bicycle, and Parts Manufacturing"
428,Del Monte Foods,Plymouth,09/12/2017,02/01/2018,107,Fruit and vegetable canning
429,Veolia North America,Indianapolis,09/08/2017,07/31/2018,70,Environmental Services
430,Kindred Hospital,Greenwood,09/08/2017,11/07/2017,86,Nursing care facilities
431,Prompt Ambulance Services,Lake Counties,08/31/2017,10/29/2017,140,Ambulance Services
432,"Bay Valley Foods LLC, Tree House Foods 
        Occupations Affected",Plymouth,08/31/2017,10/30/2017 & 06/30/2018,Unknown,Leading provider of shelf stable foods
433,"Bay Valley Foods LLC, Tree House Foods- Revised (9/19/17)",Plymouth,,,,
434,Five Seasons Family Sports Club,Indianapolis,08/01/2017,09/30/2017,84,"Sports club facilities, physical fitness"
435,"Deufol Sunman, Inc",Sunman,07/31/2017,09/30/2017,243,Packaging Services
436,"Deufol Sunman, Inc-Revised 9/29/17",Sunman,,,,
437,AM General,Mishawaka,07/28/2017,10/31/2017,435,Motor and Generator Manufacturing
438,ResCare,Statewide,07/24/2017,09/30/2017,169,Employment Services
439,Ultra Foods,Highland,07/18/2017,09/15/2017,139,Grocery Stores
440,Tokusen USA Inc,Scottsburg,07/13/2017,09/15/2017,62,Metal Manufacturing
441,Carter Fuel Systems,Logansport,06/26/2017,08/21/2017,82,Manufacturing
442,Kellogg Company,Terre Haute,06/13/2017,08/13/2017,92,Snack Food Manufacturing
443,Cintas Corporation,Indianapolis,06/01/2017,07/31/2017,69,Industrial Launderers
444,White's Residential and Family Services,Wheatfield,06/01/2017,08/31/2017,68,Family Social Services Agency
445,White's Residential and Family Services-Revised (7/27/17),Wheatfield,,,,
446,White's Residential and Family Services-Revised (10/24/17),Wheatfield,,,,
447,White's Residential and Family Services-Revised (12/14/18),Wheatfield,,,,
448,White's Residential and Family Services-Revised (2/7/19),Wheatfield,,,,
449,White's Residential and Family Services-Revised (3/22/19),Wheatfield,,,,
450,White's Residential and Family Services-Revised (11/19/19),Wheatfield,,,,
451,St. Vincent Health,"Anderson, Evansville, Indianapolis, Kokomo, Salem",05/31/2017,08/31/2017,111,Medical Office Management Services
452,St. Vincent Health-Revised (7/20/17),"Anderson, Evansville, Indianapolis, Kokomo, Salem",,,,
453,Continental Structural Plastics,Huntington,05/26/2017,07/31/2017,164,Composite plastics manufacturing
454,Mark Line Industries,Bristol,05/22/2017,05/22/2017,73,"Modular Duplex (i.e., side-by-side) construction general contractors"
455,Carrier,Indianapolis,05/19/2017,12/30/2017,632,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
456,Marsh Supermarket,Statewide,05/04/2017,07/04/2017,"1,535",Grocery Stores
457,STARTEK,Tell City,04/24/2017,06/16/2017,207,Business Management Consultant Services
458,Haan Crafts,Otterbein,04/24/2017,06/30/2017,27,General merchandise
459,Covance,Evansville,04/24/2017,07/24/2017,101,Medical research laboratories
460,Ultra Foods,"Gary, Merrillville",04/18/2017,06/17/2017,174,Grocery stores
461,Cooper-Standard Automotive,Plymouth,04/17/2017,06/21/2017,161,Automotive parts manufacturing
462,hhgregg,Indianapolis,04/07/2017,05/31/2017,268,Appliance stores
463,Buckhorn Inc,Bluffton,05/26/2017,08/31/2017,86,"Plastics (i.e., containers), manufacturing"
464,Buckhorn Inc-Revised (5/26/17),Bluffton,,,,
465,Buckhorn Inc-Revised (9/5/17),Bluffton,,,,
466,St. Vincent Frankfort Hospital,Frankfort,03/31/2017,05/31/2017,124,"Hospitals, general medical and surgical"
467,Dollar Express,"Gary, Fort Wayne & Indianapolis",03/30/2017,06/30/2017,38,Dollar Stores
468,Pretium Packaging,Seymour,03/29/2017,05/29/2017,55,"Flexible packaging, plastics film, manufacturing"
469,"Gordmans, Inc.",Clayton,03/13/2017,05/12/2017,139,Apparel Accessory Stores
470,Saran,Indianapolis,03/10/2017,06/30/2017,110,"Billet mill machinery, metalworking, manufacturing"
471,Schneider Electric,Peru,03/08/2017,05/08/2017,73,Switchgear and Switchboard Apparatus Manufacturing
472,Schneider Electric-Revised (5/25/17),Peru,,,,
473,Strack & Van Til,Merrillville,03/01/2017,04/30/2017,81,Grocery Stores
474,Corizon Health,Statewide,02/23/2017,03/31/2017,699,Facility support services on contract basis
475,MDwise,Indianapolis,02/16/2017,04/17/2017,80,Health Insurance carriers
476,Saint Joseph's College,Rensselaer,02/14/2017,04/17/2017,395,Private College
477,Saint Joseph's CollegeRevised (3/6/17),Rensselaer,,,,
478,Saint Joseph's CollegeRevised (3/10/17),Rensselaer,,,,
479,Saint Joseph's CollegeRevised (4/11/17),Rensselaer,,,,
480,Saint Joseph's CollegeRevised (4/28/17),Rensselaer,,,,
481,Saint Joseph's CollegeRevised (5/10/17),Rensselaer,,,,
482,Saint Joseph's CollegeRevised (7/5/17),Rensselaer,,,,
483,Saint Joseph's CollegeRevised (7/24/17),Rensselaer,,,,
484,Saint Joseph's CollegeRevised (1/17/18),Rensselaer,,,,
485,CB&I Services,East Chicago,02/09/2017,03/06/2017,149,Coke oven products make in iron and steel mills
486,Harman International Industries,Elkhart,02/01/2017,04/05/2017,105,Audio and Video Equipment Manufacturing
487,Harman International IndustriesRevised (5/17/17),Elkhart,,,,
488,Briarwood Health and Rehabilitation,Indianapolis,02/01/2017,04/01/2017,87,Physical Rehabilitation
489,PendaForm/Fabriform,Bluffton,01/24/2017,03/25/2017,75,All Other Plastics Product Manufacturing
490,Gannett Publishing Services,Evansville,01/25/2017,03/27/2017,48,Newspaper Publishers
491,Eli Lilly and Company,Nationwide,01/06/2017,03/31/2017,75 in Indiana,Pharmaceutical Preparation Manufacturing
492,Eli Lilly and CompanyRevised (2/3/17),Nationwide,,,,
493,United Technologies Electronic Controls,Huntington,01/05/2017,03/08/2017,738,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
494,CHEP Recycled Pallet Solutions,Indianapolis,12/27/2016,02/05/2017,165,"Pallet parts, wood, manufacturing"
495,Rexnord Industries,Indianapolis,12/15/2016,06/01/2017,350,Ball and Roller Bearing Manufacturing
496,Saint Meinrad Archabbey,Saint Meinrad,12/02/2016,06/30/2017,76,Theological Seminary
497,Saint Meinrad Archabbey-Revised (4/28/17),Saint Meinrad,,,,
498,TRW Automotive U. S. LLC,Michigan City,11/16/2016,01/15/2017,65,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
499,Express Group Holdings,Michigan City,11/09/2016,11/07/2016,5,Industrial Design Services
500,Select Medical Corporation - Select Speciality Hospital,Fort Wayne,11/08/2016,01/06/2017,103,Offices of Physicians
501,VMS BioMarketing,Out of State,11/02/2016,01/03/2017,1,Marketing consulting services
502,PrimeSource Health Care Systems,Out of State,10/31/2016,12/31/2016,43,Offices of All Other Miscellaneous Health Practitioners
503,Republic Services,Morocco,10/26/2016,12/30/2016,70,Customer service call center
504,SUEZ Water Indiana,Indianapolis,10/20/2016,12/20/2016,179,Water Treatment Plants
505,Community Westview Hospital,Indianapolis,10/11/2016,12/31/2016,187,"Hospital, general medical and surgical"
506,Paoli LLC,Orleans,10/07/2016,10/01/2017,425,Office Furniture Manufacturing
507,Paoli LLC-Revised (12/6/17),Orleans,,,,
508,Kmart,Merrillville,09/16/2016,12/11/2016,99,Discount Department Stores
509,"Pharmakon Long Term Care Pharmacy, Inc",Noblesville,09/23/2016,09/30/2016,180,Pharmaceutical Preparation Manufacturing
510,"Pharmakon Pharmaceuticals, Inc",Noblesville,09/23/2016,09/30/2016,15,Pharmaceutical Preparation Manufacturing
511,CPX Incorporated,Kentland & North Vernon,09/12/2016,09/12/2016,214,Molding for plastics manufacturing
512,Packers Sanitation Services,Orland,08/31/2016,09/23/2016,28,Janitorial Services
513,Goshen Coach,Elkhart,08/31/2016,10/31/2016,159,Motor Vehicle Body Manufacturing
514,Magnetation,Reynolds,08/26/2016,10/25/2016,160,All Other Metal Ore Mining
515,Stanrail,Gary,08/26/2016,10/27/2016,103,All Other Miscellaneous Fabricated Metal Product Manufacturing
516,Vertellus Specialties,Indianapolis,08/17/2016,10/17/2016,40-50,Chemical Manufacturing
517,"Manitowoc Foodservice, Inc.",Sellersburg,08/10/2016,10/11/2016,84,Food service equipment
518,"Triad Mining, LLC",Oakland City,08/08/2016,10/07/2016,129,Bituminous Coal and Lignite Surface Mining
519,"TriEpiq Lab Group, LLC",Out-of-State,07/27/2016,07/28/2016,1,Biotechnology research and development laboratories or services in health sciences
520,"VT Industries, Inc.",New Albany,07/25/2016,09/30/2016,120,Wood Window and Door Manufacturing
521,Indianapolis Haulage,Indianapolis & Yorktown,07/15/2016,09/29/2016,51,"Warehousing and storage, general merchandise"
522,Indianapolis Haulage-Revised (9/20/16),Indianapolis & Yorktown,,,,
523,Indianapolis Haulage -Revised (9/30/16),Indianapolis & Yorktown,,,,
524,Indianapolis Logistics,Indianapolis & Yorktown,07/15/2016,09/29/2016,135,"Warehousing and storage, general merchandise"
525,Indianapolis Logistics-Revised (9/20/16),Indianapolis & Yorktown,,,,
526,Indianapolis Logistics-Revised (9/30/16),Indianapolis & Yorktown,,,,
527,Evergreen Recreational Vehicles,Middlebury,06/14/2016,06/24/2016,270,Motor Home Manufacturing
528,Sodexo,Huntington,05/24/2016,07/05/2016,71,Food Service Contractors
529,Diversified Machine Bristol LLC,Bristol,05/20/2016,05/23/2016,500,Nonferrous Metal Die-Casting Foundries
530,"Innovative Building Systems, LLC",Decatur,05/03/2016,05/03/2016,88,Custom Home Builders
531,"Applegate Livestock Equipment, Inc.",Union City,04/14/2016,07/31/2016,80,"Complete Feed, Livestock, Manufacturing"
532,"Applegate Livestock Equipment, Inc.-Revised (6/14/16)",Union City,,,,
533,"Applegate Livestock Equipment, Inc.-Revised (7/15/16)",Union City,,,,
