,company_name,location,notice_date,layoff_date,employees_affected,URL,Closure/Layoff
106,HOOTERS of America LLC,,2020-04-06 00:00:00,2020-03-16 00:00:00,293.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVx/qvIScRk9GM5Elj.GBDk.q4vXbyNWeEoZlek.EdFKUGs,Layoff
107,Jackson Warewashing Systems,,2020-04-03 00:00:00,2020-04-06 00:00:00,94.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVY/2COXMu6Bd1MCYgNNs.Sc62L0asFJOG..KVsIGQuqD5g,Layoff
108,"Huhtamaki, Inc.",,2020-04-02 00:00:00,2020-04-05 00:00:00,115.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owUa/gQ7KCmO7r.5JxftEeBG61Dp0YG0btnF0QmbfOv3Jqwg,Layoff
109,SCHULTE COMPANIES,,2020-04-02 00:00:00,2020-03-16 00:00:00,133.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVT/U2oN7sbm_kSzNb7xiYNnrUVaoC_094PGtzzEyvZMQHo,Layoff
110,IHG Army Hotels & Holiday Inn Express,,2020-04-02 00:00:00,2020-03-20 00:00:00,68.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVi/IMPz0uy5.8DXS8aWGuSQX3cPDNWc6wEkkwZwPlw6wyc,Layoff
111,Crowne Plaza Hotel,,2020-04-01 00:00:00,2020-03-30 00:00:00,150.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owU1/cmWTeASpvF33aHX13OmKNTSglY1CKyn1mH.iVuE4fs0,Layoff
112,AJS/Galt House Hotel & Suites,,2020-04-01 00:00:00,2020-03-30 00:00:00,2.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owUQ/kIkf6vaRVWxJL33J4laXNMoRoo4Ps.CEaVYB4.M3PIU,Layoff
113,Paper Source,,2020-04-01 00:00:00,2020-03-29 00:00:00,10.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owQu/m2vDq7l1wLeK_e1Ptqh35ndxEEbdElyIHgPfZOFdJUc,Layoff
114,"CINEMARK HOLDINGS, INC.-Cinemark Movies 10",,2020-04-01 00:00:00,2020-03-26 00:00:00,28.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owQQ/GkNpTgbS1O.ynAUO2lRhhohP0a9SFLAzTXhbo.1Jdyw,Layoff
115,AJS/Galt House Hotel & Suites,,2020-04-01 00:00:00,2020-03-30 00:00:00,399.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owUB/Q4XhuwPlCqUiegEdy255dEODFtbl._noeWqruyQLy9c,Layoff
116,"The Western Kentucky Coal Company, LLC Genesis Mine (formerly Kronos Underground Mine)",,2020-04-01 00:00:00,2020-06-02 00:00:00,42.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVE/C0OZ4Bz9aNkrc9YrcMiSzi1G1WqI2.arpnDnUUJqUr8,Layoff
117,Murray Euipment & Machine,,2020-04-01 00:00:00,2020-06-02 00:00:00,11.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVO/fRo8DiZxbz2baMUvWanGYLiXkNdGw2BDb3YAGYVqjWI,Closure
118,ALJSCO,,2020-04-01 00:00:00,2020-03-30 00:00:00,4.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owUL/QiUorU3I0MCyonZFb9WQqn78BNq1UIJjwP_tw34J1Sw,Layoff
119,THE MUHLENBERG COUNTY COAL COMPANY,,2020-04-01 00:00:00,2020-06-02 00:00:00,254.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owVJ/Dg9.VOc4xZE0CzOT2WBULH9AF2F_W3myXxa4ijm196A,Closure
120,Embassy Suites Jefferson Co - Louisville,,2020-04-01 00:00:00,2020-03-30 00:00:00,62.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owTw/ZCaGJxEMniVjvqFnhoI_lXZxfMOTDOnfnNr.YyZ_aFs,Layoff
121,CONIFER REVENUE CYCLE SOLUTIONS LLC,,2020-03-31 00:00:00,2020-05-29 00:00:00,136.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owPN/jDHwTapPX.yBsZhb3qC7qy.geYOtPuuz3LjGauQ08h8,Layoff
122,Sumitomo Electric Wiring Systems Edmonton Plant 4,,2020-03-31 00:00:00,2020-03-23 00:00:00,259.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owP8/TWlSpofpJ.4imf9JMRN3NvxzGC9QrUrj8jwGi4dQAOw,Layoff
123,Lakeshore Learning Materials,,2020-03-31 00:00:00,2020-04-07 00:00:00,224.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owOt/nGZIULQU2fkInu1PxDGUoIvwySt323.mFPX6UcMSWrk,Layoff
124,Dean Dairy Holding LLC,,2020-03-31 00:00:00,2020-04-16 00:00:00,25.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owOo/bRBh1C8YP80dil6LNfT.do3OeOZYXcw6wdqfq3PF8m0,Closure
125,America's Auto Auction Bowling Green,,2020-03-30 00:00:00,2020-03-17 00:00:00,0.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owOP/m4hSFftIYaF5iodQ8VE1x2EhPnBsL0DngWDICpc52B4,Layoff
126,Beacon Orthopaedics and Sports Medicine,,2020-03-30 00:00:00,2020-03-28 00:00:00,22.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owQL/TkMdBFYOwIpwKzYmMUeJtbmWzIaOKmJSkueU1tPkBbI,Layoff
127,Take 5 Oil,,2020-03-24 00:00:00,2020-03-22 00:00:00,12.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owHE/Fw8gLcqpehdezTgGQZvhza_ckYlPC5bs1MJ2PTwLNxQ,Layoff
128,STEEL CITY POPS LKY LLC,,2020-03-23 00:00:00,2020-03-23 00:00:00,38.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000owBk/UdXwHzOysa2WEFIwW91sqoNtkgLUhMWGm8epCLwsdJk,Layoff
129,Hilton Lexington Downtown,,2020-03-20 00:00:00,2020-03-20 00:00:00,117.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ow4P/0C9LAvjzDBy8OnNf4iPYygDc5IXuPmrnoxJIB6FHmIo,Layoff
130,"Trans States Airlines, LLC",,2020-03-19 00:00:00,2020-04-02 00:00:00,46.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ow3v/Uf7QRMDiS2Wn9wh3uL_MjYr73eqzdZ2odrJ71rsyyuw,Closure
131,Simpler Postage Inc.,,2020-03-10 00:00:00,2020-05-10 00:00:00,32.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000008NTl/KOM2eb3czyHWnzkINC_qZBGbCu255iXTpZPawIO1BFc,Closure
132,International Automotive Components,,2020-02-25 00:00:00,2020-04-18 00:00:00,111.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ihOn/vVgpussISl65lKumOGwpNfwq9FxfUfuN4BGSvEwMKlU,Layoff
133,"Conduent Federal Solutions, LLC.",,2020-02-21 00:00:00,2020-04-25 00:00:00,99.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ihMD/tt8tewJ511kkosZ5VaFbUX5Y44bRBloyh4qlBeHX_Pc,Layoff
134,DeliveryForce,,2020-02-14 00:00:00,2020-04-16 00:00:00,24.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000ihGo/vT0xRvwNGC.dCw3bxMVxUj1bgCv9v1OAltj4EqlilJ4,Layoff
135,"IPSCO Tubulars (KY), L.L.C.",,2020-02-05 00:00:00,2020-04-05 00:00:00,87.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRpa/FhXx5qmiMk8LEffcKqwhZD.RPrbCYHQRmDk1TwaTpE0,Layoff
136,"Our Lady of Bellefonte Hospital, L.L.C.",,2020-01-31 00:00:00,2020-03-31 00:00:00,1226.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRls/iReAoQajVybKDYSG3.slx51EZwROrWfJQq8Lxz49EB4,Closure
137,Murray State University,,2020-01-28 00:00:00,2020-04-10 00:00:00,65.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRhl/81vkTrMagQ53YxsN0hZ.yuamCTzG76xRwCBp4TcqrH4,Layoff
138,First America/First Transit,,2020-01-23 00:00:00,2020-03-31 00:00:00,177.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cReA/AD52MD3dra9Cw2jscmkx93bzNWHv6VISG8e5YAINi0A,Layoff
139,"LSC Communications US, LLC aka RR Donnelley",,2020-01-16 00:00:00,2020-03-16 00:00:00,571.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRUa/980H1AkczTFNoma5sEpvnMR_WgJX7wifiuzbxN.lSNg,Closure
140,Grant County Foods LLC,,2020-01-15 00:00:00,2020-03-09 00:00:00,80.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRTm/DCB.aAEW9X0uSKH9Kc59ILPw6TDyn_Fbw2a5vAp1Gis,Closure
141,Crosset Company LLC,,2020-01-15 00:00:00,2020-03-09 00:00:00,39.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRTh/8DdTGF2CXICOiJsIN.OI5_yLrhz4g8I9pvki4h1EC0A,Closure
142,Ficosa North American Corporation,,2020-01-13 00:00:00,2020-04-01 00:00:00,187.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRLn/GnIT25v05rLrhgFiEW6tjXg7K0wq1O3CgIqQARI5SxM,Closure
143,"The Western Kentucky Coal Company, LLC Genesis Mine (formerly Kronos Underground Mine)",,2019-12-26 00:00:00,2020-02-24 00:00:00,250.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cRBf/TjixJjoS3DhrKgmVkJ3.liz6mpYQEtkDPu3mB0rKzg8,Closure
144,PAE Visa Support Services (VSS),,2019-12-19 00:00:00,2020-02-28 00:00:00,425.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cR9Z/mzgeWCa2sgi0GNtixVIRztL6gsTTp1PgNiTIVyhSC_A,Layoff
145,Webster County Coal Dotiki Mine,,2019-12-09 00:00:00,2020-02-07 00:00:00,40.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000cR1G/KaUq3yGvNu5Y3ife_6WzDglsbgthQGfBwiXh5kdz3q8,Closure
146,Modern Transmission Development MTD Products Inc,,2019-11-19 00:00:00,2020-01-17 00:00:00,279.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KXW/JMtP2rp1cKSoDYYHyZ1DOmdaLonjiWKp6el4LfveHw8,Closure
147,"Ebonite International, Inc.",,2019-11-15 00:00:00,2019-11-15 00:00:00,171.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KW9/0lv2u0VurE2WSBVdGd8hm6TbcFYqE0qoy_aOWwzKEOc,Closure
148,BEKAERT CORPORATION,,2019-11-12 00:00:00,2020-01-13 00:00:00,100.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KSl/tzhNMQshDrc1hZ7dukb.WYGRvQ73NWFAXuejOa8ZKkw,Closure
149,Stinnett Mine,,2019-11-04 00:00:00,2020-01-01 00:00:00,21.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KOe/.prhulKld3VKHCnGLj093KMsQPcRYabh45iB0NDgl5Q,Layoff
150,Balkan area Mines and Facilities,,2019-11-04 00:00:00,2020-01-01 00:00:00,97.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KOP/DIxYr8280eLPOAbjq5Qy.7iWEstk5S7339Xs1AZgG3Q,Layoff
151,"Bailey's Creek, Cranks Creek & Day Branch Mines",,2019-11-04 00:00:00,2020-01-01 00:00:00,38.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KO0/2zXboZGmgRg0Dl8r3YDiSUQo2R4SKA3KUcZjt02vBTs,Layoff
152,Nally & Hamilton Enterprise Inc,,2019-11-04 00:00:00,2020-01-01 00:00:00,5.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KOj/WCWsBGOkusIruziyuMJznicqsxCQmmFkvW4k4CMkXms,Layoff
153,Stinnett Mine -London,,2019-11-04 00:00:00,2020-01-01 00:00:00,9.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KOo/X2uDR4FH5S3OyrXeygIDWHDwaOeQeqsw5aSkgMG30CQ,Layoff
154,AECOM,,2019-10-29 00:00:00,2019-12-29 00:00:00,383.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000001KJZ/4_R411GmRGsz0BlUVg1GEV7MMFFCvv03ekLw0ONq8oU,Layoff
155,INOAC PACKAGING GROUP INC,,2019-09-12 00:00:00,2019-11-12 00:00:00,72.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000WdT7/B59Pt4u9uexHusdh8dPM916_U5k8OMOCt1LcpM0BxV0,Layoff
156,Pennyrile Energy LLC -RiverEdge Mine -Rhino Resource Partners LP,,2019-09-05 00:00:00,2019-11-01 00:00:00,169.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000WdOj/EtoHFBGYRGKEa6HRL919.tBmdJgWhFQwvQrNBo_3sMw,Closure
157,AK Steel -Ashland Works,,2019-09-03 00:00:00,2019-11-04 00:00:00,260.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000WdN2/CTRzF6Zg1B6KDGGOoPa5E41iR8bSDyPwMEfqLIUpUKw,Closure
158,BRIGGS & STRATTON CORPORATION,,2019-08-22 00:00:00,2019-09-27 00:00:00,628.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000WdMn/g2M_onZ71eICyV5MHAmrcI9xj.DWop9fES47Qz6TOY0,Closure
159,FFO Home,,2019-08-01 00:00:00,2019-10-01 00:00:00,52.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000WdA8/vvbTe3kMp1Nvy2j6JogC.Fo5eWWtm0eeCS8PJOTUGWw,Closure
160,"IPSCO Tubulars (KY), L.L.C.",,2019-07-30 00:00:00,2019-09-24 00:00:00,159.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Wd9P/_ffe_T.8pVJAnxpwF5lsIzTIltvFXG9T3xrua6msPMM,Layoff
161,Red Ventures,,2019-07-22 00:00:00,2019-10-31 00:00:00,94.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Wd2T/PI1ar24.mSaGdzud22p1FBvQQtVncoVUmpSZjnlXSs0,Layoff
162,"Sykes Enterprises, Inc.",,2019-07-01 00:00:00,2019-09-03 00:00:00,179.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000RDOn/lkKWZKcbO_wTjiD8NXk90DAmkAcC7UlR1XTipqqKe5k,Layoff
163,"HOLLANDER SLEEP PRODUCTS, LLC",,2019-06-21 00:00:00,2019-08-21 00:00:00,208.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000RDNL/cENY6Yw0L6V0tYAhXQSr1SwpBiW_qL2g1qeltKZ5Z3w,Closure
164,CEVA LOGISTICS US INC,,2019-06-19 00:00:00,2019-08-18 00:00:00,74.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000RDKl/L9n7cVUqId8mYTiN9N5mPiJTKrx1layZnqU03yepdp0,Closure
165,Harman International,,2019-05-30 00:00:00,2019-08-02 00:00:00,158.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000RDEE/zv.4KIhQrCwNRVWBuLcjh5IvPccib8T1xkZMr1PVYXE,Closure
166,TRANE U.S. Inc.,,2019-05-30 00:00:00,2019-08-16 00:00:00,659.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000RDEn/Km.eR1JpRzHzWCG1sfudTWfq6WgleLWWcwhdFwpxEsI,Layoff
167,Fruit of the Loom,,2019-05-22 00:00:00,2019-07-22 00:00:00,100.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Eq4i/ll_W4ujmdvBeo76oHEjA7ivRqayesJrfl0Jnx.RRBuk,Layoff
168,Concentrix CVG Customer Management Group,,2019-05-06 00:00:00,2019-09-30 00:00:00,175.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpxI/l7YVkfHX7fqOs1wOKvTedRl0AjrRtvozGYfKkElZnYA,Closure
169,"New Vista Behavioral Healthcare, Inc",,2019-05-01 00:00:00,2019-06-01 00:00:00,132.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Epvq/79U3qTXJabfjSdSPIz1CnPAoZIrZDiXud3zKGq48K_o,Layoff
170,Continuum Global Solutions,,2019-04-23 00:00:00,2019-06-21 00:00:00,117.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpnN/IyWZZKHbreiP8MjdUnXRYsBv7qLA1gHf.53HeUcjtJ4,Layoff
171,Russell Locomotive Shop,,2019-04-05 00:00:00,2019-04-05 00:00:00,113.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpTm/0F1ZzVAcUXz4hPA2mo9zaPAUYETpzbg2ih8KyBXYq6s,Closure
172,FLINT GROUP,,2019-03-27 00:00:00,2019-06-30 00:00:00,81.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpRC/sP35776nu0Y26CennYF2zNwtXpqThBjtNVQC9nRVBJ0,Layoff
173,"Conduent Federal Solutions, LLC.",,2019-03-22 00:00:00,2019-04-21 00:00:00,97.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpPG/BcFqJm9O74.RNbLuDmOLx9x5NfjL5zaeUcLVJDSPlF8,Layoff
174,ResCare CAKY of Somerset,,2019-03-12 00:00:00,2019-04-19 00:00:00,93.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpNe/jxQnVmRKQOBdYkstRh.RKsOkZ3Mg6JH1jGU60pkcFSA,Layoff
175,Bingham Gardens,,2019-03-12 00:00:00,2019-03-31 00:00:00,125.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EpNj/cOhQTKaQ2gcp.gy4MgZvc_yvaJ48isqan4raaGqpkJU,Layoff
176,Performance Team,,2019-02-25 00:00:00,2019-02-20 00:00:00,42.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000005vxE/orw9mJ4CzJu7oN2JNn7_04l4cAU3jljPv8zJ0nBIVhE,Layoff
177,Jack Cooper Transport Co. Inc,,2019-02-21 00:00:00,2019-04-21 00:00:00,425.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000005vvm/OBq9ZCILyx_sBAROY6aGBp1oSbR_ZwnXWmBdM_.9OP0,Closure
178,LED VANCE LLC,,43490.0,43735.0,253.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000005vra/uQzmaCFfCBeaiyeQT3bSH3QnlGh7LFKk0jmyRNZ.Me8,Closure
179,"Leggett & Platt, Inc.",,2018-12-13 00:00:00,2019-02-14 00:00:00,146.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfHb/KdQOCwx8Zinco3Tpj1Tbu.p0fBuFeRgrswbmpvaUVHc,Layoff
180,IQOR Global Service LLC,,2018-12-12 00:00:00,2019-02-11 00:00:00,128.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfGx/82BIPDUUl3pa7Suh3BaPE0_BgeQ9blDsvAbllSpEpS0,Layoff
181,"Piramal Pharma Solutions, Inc.",,2018-11-30 00:00:00,2019-01-29 00:00:00,38.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfFu/8t7xHwFEfoGHJCiYc4naUWfoCtJhrwmI9va_H0vjDQQ,Layoff
182,Graham Packaging Company-Florence,,2018-11-27 00:00:00,2019-01-25 00:00:00,57.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfEX/0Rq7G_0sY6f10fPfgCWe6vnkkfckTJhvyJoIucExbFg,Closure
183,Pomeroy Solutions Sales dba Getronics,,2018-10-31 00:00:00,2019-06-30 00:00:00,163.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t00000005vz0/XPItV2WU3WN0A72pE56NXti.Dxx6IDwZM.LTs.9FIQc,Closure
184,Mondi Industrial Bags,,2018-10-30 00:00:00,2018-12-31 00:00:00,100.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfBO/rl1bg9z2EWy6WmXfQKTFRt5ojZtjxt4LtfxNA77ZRbw,Closure
185,Concentrix CVG Customer Management Group,,2018-10-30 00:00:00,2018-12-28 00:00:00,258.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfAz/pDsC_reMBfpdsPzrmoKkVL0SCVudo6KN6xRz2TKNcD8,Closure
186,K&T SWITCHING SERVICE -Fern Valley Road,,2018-10-26 00:00:00,2018-12-24 00:00:00,52.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfAp/Y2._cxSJVwR70uVKfkmvhAD6I_m9wOIKV07_Qv395Io,Layoff
187,K&T SWITCHING SERVICE -Chamberlain Lane,,2018-10-26 00:00:00,2018-12-24 00:00:00,38.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfAu/M67mHE9oyvS_sgRSCUSABuhQ6oVIabwDWgKrLbeCHi8,Layoff
188,Murray State University,,2018-10-16 00:00:00,2018-12-14 00:00:00,44.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfAQ/sRRAIDk86E862Wc_jcQwXpVu4Y9NssYFkv2WZ4sPZy0,Layoff
189,Kentucky River Foothills Development Council,,2018-10-01 00:00:00,2018-12-31 00:00:00,142.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000LfA6/5_SnMm02FpXxlJvHfFXH4knEDKPTPpjza1QRKNY14XA,Layoff
190,dormakaba USA Inc.,,2018-09-27 00:00:00,2018-12-03 00:00:00,58.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Lf98/lOTl8Poab9OHXVs2c0eEchk5YZe2giYjVqdNm0Npxxk,Layoff
191,Oxford Government Consulting,,2018-09-27 00:00:00,2018-11-23 00:00:00,68.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Lf8y/YdceGK8wivqnCLAw9fI4FTA7ztfvtkmfxiTmDVz.jG0,Layoff
192,"GANNETT COMPANY,  INC.",,2018-09-27 00:00:00,2018-12-31 00:00:00,73.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Lf93/GwoQBxzZdxUOsh8FwPgJQf41hpu8pZp_kcEM3SMD.ZY,Layoff
193,Werner Co.,,2018-08-20 00:00:00,2019-10-09 00:00:00,118.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000YGHR/ixBwaiHHNUxo6OnABp9SBrQyk9fFi4i28AsvGNPvPlQ,Closure
194,US BANK -Bowling Green,,2018-07-26 00:00:00,2018-09-28 00:00:00,100.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000W7si/TMQ5Mfgl7HgcpRXZbxVld9l6rz6FfE.R.aRj6yskI9Y,Closure
195,Taylor & Francis Group LLC,,2018-07-18 00:00:00,2018-09-28 00:00:00,68.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QuR2/qHTmU1CcE_EL81EQ_.Er1vI9U5RJeZgiOUH4C1vEn4I,Closure
196,WAL-MART Store #1269,,2018-07-12 00:00:00,2018-09-14 00:00:00,206.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QsNa/lCyYKV0hxRNqv_taSYBWLqVmWenq6Ui6ZyQxogwFukY,Closure
197,WAL-MART Store #2060,,2018-07-12 00:00:00,2018-09-14 00:00:00,203.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QsN6/mn0ngPyV9pW20cvA9OyLUs4WSVFifNXtf_XwrLiXOu4,Closure
198,WAL-MART Store #4523,,2018-07-12 00:00:00,2018-09-14 00:00:00,96.0,,Closure
199,WAL-MART Store #3841,,2018-07-12 00:00:00,2018-09-14 00:00:00,92.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QsOT/hxczfu.srf8ln1IO.7OaGYK9bauXjgdY9A6_mSUxF6s,Closure
200,Dean Dairy Holding LLC,,2018-07-05 00:00:00,2018-09-07 00:00:00,76.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QqfB/F2Zih9ZLCYcdRDC1SGSJE3QekMlqpEQaNJAWeSX1zCY,Closure
201,AMERICAN GREETINGS CORPORATION,,2018-07-03 00:00:00,2018-09-07 00:00:00,275.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Qqf6/hODCLERFfiBLYeqBrtkZi8AjpCxBT2SIhczjbRTM9kw,Closure
202,Magic Mart Store #650,,2018-07-02 00:00:00,2018-10-01 00:00:00,29.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QpeR/CzvUuu_Bg8om0Ep4DEsUaRXHvgTbSnumSxhdmzRW00M,Closure
203,Magic Mart Store #960,,2018-07-01 00:00:00,2018-10-01 00:00:00,31.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QpeM/5K3lq8nPkK8d4e7zPJYG6ht08Ftsyqr.lvOWNM6p.kQ,Closure
204,Savers,,2018-06-14 00:00:00,2018-08-12 00:00:00,59.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Qi7e/ZC5lCiTpyOhWbuozI.2ZpgbDqdDSxNLeacnSiBTlR2Y,Closure
205,DNR Group LLC-Innovairre,,2018-06-05 00:00:00,2018-08-02 00:00:00,54.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QdEQ/SGv1QwgY4kB4TGRTL3jjCAZ4MvS8juKRTAJEHLQaKL4,Layoff
206,ALBAAD USA INC,,2018-05-31 00:00:00,2018-08-31 00:00:00,104.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000Qc1f/U5uB_gQNXS7sXQCSgXNZ1hLM2j3OcgCmnzHI2tXwU64,Closure
207,THE BOEING COMPANY-Lexington,,2018-05-21 00:00:00,2018-07-13 00:00:00,99.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QYkD/lzR4.QF0iZtfC.EiVNvzroPpfFweCQSnG.XFkSHj7E4,Layoff
208,Prairie Farms-Fulton,,2018-05-01 00:00:00,2018-06-30 00:00:00,52.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000QQEL/CebzUO7lMjtxZQ_JNI_5I.3pLz_RDocv7SYSIMVlwQQ,Closure
209,CONIFER REVENUE CYCLE SOLUTIONS LLC,,2018-03-01 00:00:00,2018-04-30 00:00:00,128.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000EjM2/5LQYUgnuTA_qjNY.QeNFP9z72HkDZOHyL_IuMqX42Lg,Layoff
